,sentences
36,"['that', 'was,', 'again,', 'great,', 'realli', 'great', 'experi', 'realli', 'even', 'more', 'excit', 'about', 'field,', 'realli', 'most', 'import', 'thing', 'career', 'that', 'that', 'experi', 'where', ""i'v"", 'brought', 'kind', 'peopl', 'just', 'street', 'experi', 'becaus', 'run', 'research', 'studi', 'augment', 'realiti', 'could', 'enhanc', 'human', 'perform', 'these', 'peopl', 'would', 'come', ""they'd"", 'into', 'exoskeleton']"
37,"['they', 'would', 'test']"
38,"['then', 'then', 'everi', 'singl', 'them', 'would', 'say,', 'like,', 'that', 'amaz']"
39,"['thi', 'was,', 'nineteen', 'ninety.']"
40,"['thirti', 'year']"
41,"[""didn't"", 'think', 'would', 'take', 'thirti', 'years,', 'feel', 'like', 'realiti', 'augment', 'realiti', 'would', 'chang', 'world', 'went', 'back', 'silicon', 'valley,', 'found', 'compani', 'call', 'immers', 'corporation,', 'which', 'earli', 'compani']"
42,"['built', 'somewhat', 'realli', 'first', 'virtual', 'realiti', 'simul', 'medic', 'school', 'where', 'doctor', 'could', 'train', 'compani', 'kept', 'sell', 'them', 'decad']"
43,"['immers', 'went', 'public', 'nineteen', 'nineti', 'nine']"
44,"['think', ""it'"", 'oldest', 'realiti', 'compani', 'world', 'from', 'earli', 'days.']"
45,"['found', 'current', 'company,', 'unanim', 'which', 'artifici', 'intellig', 'compani', 'that', 'focus', 'amplifi', 'group', 'intellig', 'share', 'environments,', 'realli', 'focus', 'stuck', 'human', 'side', 'thing']"
46,"['speaker', 'second', 'part', 'podcast', 'when', ""we'r"", 'gonna', 'realli', 'deep', 'dive', 'into', 'thi', 'potenti', 'danger', 'matter']"
47,"['would', 'like', 'littl', 'back', 'some', 'stori', 'about', 'earli', 'days,', 'real', 'earli', 'day', 'about', 'augment']"
48,"['speaker', 'realiti']"
49,"[""it'"", 'real', 'start', 'late', 'eighti']"
50,"['fortun', 'enough', 'into', 'stanford', 'call', 'center', 'design', 'research']"
51,"['which', 'hand', 'other', 'research', 'look', 'reality,', 'look', 'tele,', 'augment', 'realiti', ""didn't"", 'exist', 'back', 'then,', 'would', 'think', 'current', 'technolog', 'television,', 'peopl', 'spent', 'decades,', 'learn', 'about', 'frame', 'rate', 'learn', 'about', 'other', 'basic', 'percept', 'capabl', 'that', 'what', 'kind', 'frame', 'rate', 'need', 'to..']"
52,"['televis', 'look', 'smooth', 'back', 'late', 'eighti', 'earli', 'nineties,', 'peopl', 'with', 'ask', 'those', 'same', 'question', 'about', 'immers', 'worlds.']"
53,"['what', 'kind', 'updat', 'rate', 'need', 'that', 'when', 'move', 'your', 'head,', ""don't"", 'nauseous,', 'what', 'kind', 'accur', 'have', 'build', 'model', 'inter', 'rock', 'distanc', 'depth', 'percept']"
54,"['these', 'your', 'realli', 'basic', 'paramet', 'were', 'under', 'where', 'research', 'topic']"
55,"['back', 'then,', 'between', 'nineti', 'nineti', 'five']"
56,"['virtual', 'realiti', 'realli', 'took', 'public', 'conscious']"
57,"['peopl', ""don't"", 'realli', 'realiz', 'that.']"
58,"['like,', 'peopl', 'today,', 'least,', 'they', ""don't"", 'realiz', 'that', 'nineteen', 'nineti', 'five,', 'virtual', 'audio', 'cover', 'wire', 'magazin', 'with,', 'with', 'statement', 'saying,', 'thi', 'next', 'thing']"
59,"['peopl', 'realli', 'believ', 'back', 'then']"
60,"['eighti', 'five,', 'peopl', 'believ', 'that', 'virtual', 'would', 'everywher', 'within', 'five', 'years.']"
61,"['speaker', 'well,', 'those', 'believers?']"
62,['speaker']
63,"['when', 'found', 'first', 'company,', 'which', 'nineteen', 'nineti', 'three,', 'believ', 'that', 'thousand', 'seven', 'years,', 'realiti', 'would', 'everywher']"
64,"['ventur', 'capitalist', 'believ', 'that', 'well', 'earli', 'nineties,', 'realli', 'half', 'topic', 'then', 'around', 'nineteen', 'nineti', 'seven,', 'just', 'fell', 'edg', 'world,', ""couldn't"", 'even', 'mention', 'word', 'virtual', 'realiti', 'ventur', 'capitalist']"
65,"['peopl', 'often', 'what', 'happen', 'that', 'happen?', 'what', 'happen', 'internet', 'happened,', 'which', 'import', 'critic', 'technolog', 'virtual', 'worlds,', 'boom', 'happen', 'where', 'everi', 'ounc', 'excit', 'everi', 'dollar', 'ventur', 'capit', 'went', 'into', 'just', 'build', 'basic', 'flat', 'businesses.']"
66,"['realiti', 'fell', 'favor', 'over', 'decade,', 'probabl', 'about', 'fifteen', 'years.']"
67,"['speaker', 'thi', 'gonna', 'question', 'just', 'sit', 'there', 'twenti', 'twelv']"
68,"[""you'r"", 'hear', 'about', 'gonna', 'next', 'biggest', 'thing,', 'where', 'there', 'thinking,', 'thi', 'again,', 'where', 'said', 'think', 'yeah', 'time']"
69,"['speaker', 'twenti', 'twelv', 'when', 'start', 'come', 'back,', 'realli', 'around', 'twenti', 'fourteen', 'that', 'was..']"
70,"['that', 'really..']"
71,"['start', 'same', 'kinda', 'hype', 'that', 'nineteen', 'nineti', 'five']"
72,"['that', 'time,', 'twenti', 'fourteen,', 'work', 'professor', 'california', 'state', 'university,', 'teach', 'cours', 'entrepreneurship,', 'actual', 'advis', 'varieti', 'compani', 'end', 'advis', 'some', 'some', 'student', 'startup', 'world']"
73,['i...']
74,"['know,', 'distinctli', 'rememb', 'say', 'thing', 'that', 'learn', 'thi', 'space', 'that', 'thing', 'take', 'longer', 'than', 'expect', 'hype', 'around', 'earli', 'twenti', 'ten', 'felt', 'okay']"
75,"[""we'r"", 'get', 'closer']"
76,"[""it'"", 'probabl', 'littl', 'overli', 'optimist']"
77,"['advic', 'start', 'that', 'time', 'prepar', 'an..']"
78,"['stain', 'long', 'haul', 'becaus', ""you'r"", 'gonna', 'have', 'busi', 'plan', 'that', 'that', 'realiz', 'itself', 'three', 'years.']"
79,"['should', 'again,', 'seven', 'year', 'plan']"
80,"['person', 'thi', 'time', 'keep', 'real']"
81,"['thi', 'time,', 'it..']"
82,"['industri', 'realli', 'coalesc', 'around', 'concept,', 'just', 'startups,', 'just', 'ventur', 'capitalists,', 'major', 'corpor', 'invest', 'meta', 'where', 'realli', 'will', 'happen', 'that', 'level', 'that', 'that', 'realiz', 'excit', 'that', 'peopl', 'had,', 'know,', 'thirti', 'year']"
83,"['over', 'last', 'twelv', 'eighteen', 'months,', 'realli', 'largest', 'compani', 'world', 'have...']"
84,"['have', 'realiz', 'that', 'thi', 'import', 'their', 'consum', 'busi']"
85,"['thi', 'import', 'mainstream', 'comput']"
86,"['they', 'plan', 'their', 'futur', 'with', 'meta', 'signific', 'part']"
87,"['there', 'be', 'virtual', 'meta', 'augment', 'matter']"
88,"['where', 'virtual', 'meta', 'these', 'fulli', 'simul', 'worlds,', 'peopl', 'avatar', 'augment', 'univers', 'be', 'virtual', 'layer', 'over', 'real', 'world', 'reason', 'split', 'mind', 'that', ""it'"", 'realli', 'differ', 'industri', 'that', 'evolv', 'parallel,', ""they'r"", 'come', 'from', ""they'r"", 'evolv', 'exist', 'industries.']"
89,"['virtual', 'meta', 'evolv', 'game', 'industri', 'social', 'media', 'industry,', 'wherea', ""it's..""]"
90,"['virtual', 'meta', 'fulli', 'virtual', 'world', 'will', 'evolve,', 'realli', 'focus', 'social', 'entertainment,', 'shopping,', 'gaming,', 'fulli', 'simul', 'worlds,', 'wherea', 'augment', 'meta', 'versu', 'realli', 'evolv', 'mobil', 'phone', 'industry,', 'evolv', 'where', 'handheld', 'phone', 'will', 'turn', 'into', 'augment', 'reality,', 'eyewear', 'wear,', ""it'"", 'realli', 'about', 'mobil', 'media']"
91,"[""it'"", 'differ', 'players,', 'differ', 'focus,', 'differ', 'interact']"
92,"['both', 'those', 'happen', 'parallel']"
93,"['person', 'view', ""it'"", 'actual', 'easier', 'predict', 'augment', 'matter', 'look', 'time', 'frame', 'thing', 'evolve.']"
94,"[""it'"", 'easier', 'predict', 'veri', 'rapid', 'adopt', 'augment', 'meta,', 'wherea', 'fulli', 'virtual', 'meta', 'littl', 'harder', 'predict']"
95,"['becaus', 'realli', 'depend', 'peopl', 'want', 'spend', 'signific', 'amount', 'time', 'fulli', 'simul', 'world']"
96,"['speaker', 'thi', 'interest', 'becaus', 'peopl', 'think', 'that', 'onli', 'virtual', 'worlds,', 'obvious', 'most', 'first', 'interest', 'aspect', 'matter', 'versu', 'be', 'abl', 'bring', 'digit', 'content', 'into', 'real', 'world', 'creat', 'thi', 'kind', 'connect', 'between', 'what', 'digit', 'what', 'real']"
97,"['probabl', 'most', 'fascin', 'aspect', 'thi', 'that', 'think', 'about', 'right', ""you'r"", 'talk', 'about', 'augment', 'matter', 'will', 'evolut', 'mobil', 'market']"
98,"['think', 'about', 'situat', 'right', 'that', 'life,', 'without', 'mobil', 'phone', 'less', 'meaning', 'than', 'where', 'mobil', 'phone', 'becaus', ""we'r"", 'more', 'connect']"
99,"['more', 'thing']"
100,['work.']
101,"['connect', 'with', 'friends,', 'check', 'news']"
102,"['have', 'data', 'inform', 'come', 'toward', 'that']"
103,"['future,', 'thi', 'gonna', 'probabl', 'import', 'vital', 'becaus', ""it'"", 'gonna', 'also', 'connect', 'directli', 'mean', 'realiti', 'itself.']"
104,"['speaker', 'realli', 'meta', 'thi', 'transit', 'from,', 'inform', 'be', 'stuck', 'thi', 'littl', 'flat', 'window', 'your', 'hand', 'inform', 'be', 'place', 'into', 'world', 'natur', 'intuit', 'locat', 'locat', 'that', 'want']"
105,"['realli', 'see,', 'augment', 'meta', 'be', 'human', 'agon', 'technolog', 'that', 'will', 'inform', 'into', 'form', 'that', 'percept', 'system', 'design', 'perceiv']"
106,"['spatial', 'content', 'around', 'thi']"
107,"['content', 'should', 'just', 'there']"
108,"['potenti', 'augment', 'augment', 'reality,', 'augment', 'extrem', 'make', 'your', 'world', 'more', 'natural,', ""doesn't"", 'have', 'downsid', 'cut', 'from', 'real', 'world.']"
109,"['like', 'think', 'adopt', 'path', 'thi', 'thing', 'okay']"
110,"['back', 'think', 'thousand', 'seven,', 'everybodi', 'use', 'flip', 'phones,', 'nobodi', 'thought', 'they', 'need', 'smartphon', 'nobodi', 'thought', 'they', 'would', 'ever', 'spend', 'thousand', 'dollar', 'phone,', 'then', 'appl', 'launch', 'iphon']"
111,"['within', 'five,', 'years,', 'smartphon', 'went', 'from', 'zero', 'complet', 'replac', 'flip', 'phone', 'market', 'despit', 'fact', 'that', 'significantli', 'more', 'expens', 'when', 'major', 'major', 'corpor', 'launch', 'augment', 'realiti', 'where,', 'could', 'same', 'exact', 'kind', 'transit', 'happening,', 'which', 'first', ""it'll"", 'support', 'develop', 'creat', 'interest', 'content', 'when', 'appl', 'launch', 'augment', 'realiti', 'eyewear', ""there'"", 'interest', 'creativ', 'content,', 'will', 'veri', 'quickli', 'point', 'where', 'peopl', ""don't"", 'have', 'that', 'eyewear', 'will', 'feel', 'like', ""they'r"", 'miss', 'content']"
112,"['actually,', 'feel', ""it'll"", 'actual', 'feel', 'even', 'more', 'intens', 'than', 'differ', 'smartphon', 'flip', 'phone']"
113,"['becaus', 'they', 'liter', 'will', 'thing', 'their', 'world', 'they', ""can't"", 'even', 'see.']"
114,"['earli', 'twenti', 'thirties,', 'could', 'realli', 'augment', 'meta', 'that', 'realli', 'chang', 'society,', 'chang', 'peopl']"
115,"['speaker', 'have', 'been', 'pioneer', 'year', 'field', 'virtual', 'realiti']"
116,"['start', 'foundat', 'what', 'call', 'augment', 'realiti']"
117,"['oper', 'field', 'artifici', 'intellig']"
118,"['tell', 'littl', 'more', 'about', 'your', 'first', 'step', 'into']"
119,['speaker']
120,"['background', 'interest', 'realli', 'technolog', 'that', 'use', 'amplifi', 'human', 'abil']"
121,"['interest', 'realli', 'thi', 'interfac', 'between', 'between', 'human', 'comput', 'interest', 'initi', 'virtual', 'realiti', 'augment', 'realiti', 'thi', 'technolog', 'allow', 'peopl', 'perform', 'task', 'better', 'long', 'time,', 'realli', 'focus', 'technolog', 'make', 'enhanc', 'singl', ""individual'"", 'perform']"
122,"['virtual', 'fixtur', 'platform', 'that', 'built', 'forc', 'about,', 'allow', 'peopl', 'like,', 'perform', 'manual', 'task', 'with', 'augment', 'realiti', 'they', 'could', 'perform', 'that', 'task', 'faster', 'better?', 'about', 'year', 'ago,', 'start', 'realli', 'think', 'about', 'just', 'individu', 'group', 'people.']"
123,"['technolog', 'enabl', 'group', 'peopl', 'perform', 'better?', ""that'"", 'when', 'start', 'look', 'look', 'artifici', 'intellig', 'thing,', 'connect', 'group', 'peopl', 'togeth', 'better', 'that', 'can..']"
124,"['group', 'make', 'better', 'decis', 'better', 'predict', 'better', 'forecast']"
125,"[""that'"", 'realli', 'down', 'thi', 'path']"
126,"['use', 'realli', 'uniqu', 'way,', 'which', 'connect', 'group', 'peopl', 'togeth', 'make', 'them', 'collect', 'smarter.']"
127,"['develop', 'technolog', 'that', 'call', 'swarm']"
128,"['call', 'becaus', 'thing', 'that', 'year', 'ago,', 'realli', 'think', 'about']"
129,"['make', 'group', 'more', 'intellig']"
130,"['like,', 'many,', 'know,', 'type', 'technolog']"
131,"[""it'"", 'alway', 'use', 'back', 'look', 'nature?']"
132,"['doe', 'natur']"
133,"['turn', 'that', 'natur', 'spent', 'hundr', 'plane', 'year', 'evolv', 'method', 'where', 'larg', 'group', 'actual', 'optim', 'their', 'combin', 'intellig']"
134,"['biologist', 'call', 'swarm', 'intellig', 'swarm', 'intellig', 'reason', 'bird', 'flock', 'fish', 'school', 'swarm']"
135,"['they', 'significantli', 'smarter', 'togeth', 'than', 'alon']"
136,"['they', 'make', 'much', 'better', 'decisions.']"
137,"[""it'"", 'if..']"
138,"['term', 'swarm', 'intelligence,', 'think', 'school']"
139,"['school', 'fish,', 'they', 'could', 'thousand', 'individu']"
140,"['they', 'each', 'have', 'slightli', 'differ', 'view', 'their', 'world']"
141,"['they', 'each', 'have', 'slightli', 'differ', 'histor', 'memori', 'their', 'experiences.']"
142,"['they', 'have', 'slightli', 'differ', 'personalities,', ""one'"", 'charg']"
143,"[""there'"", 'fish', ""that'"", 'charg', 'yet,', 'school', 'fish', 'navig', 'ocean', 'make', 'good', 'decis', 'success', 'speci', 'hundr', 'million', 'year', 'work', 'togeth', 'system']"
144,"['they', ""don't"", 'take', 'vote']"
145,"['they', ""don't"", 'take', 'poll']"
146,"[""there's...""]"
147,"['they', ""don't"", 'take', 'survey']"
148,"[""there's..""]"
149,"['they', 'work', 'real', 'time', 'system', 'push', 'pull', 'each', 'other', 'with', 'littl', 'signal', 'that', 'allow', 'group', 'make', 'make', 'realli', 'good', 'decis']"
150,"['biologist', 'would', 'call', 'them', 'super', 'organ']"
151,"['when', 'found', 'unanim', 'say,', 'seven', 'year', 'ago,', 'bird', 'bee', 'fish', 'smarter', 'these', 'systems,', 'allow', 'group', 'peopl', 'come', 'togeth', 'these', 'systems?']"
152,"['built', 'thi', 'system', 'call', 'swarm']"
153,"['that', 'group', 'peopl', 'make', 'forecast', 'make', 'decis', 'thirty,', 'forti', 'percent', 'more', 'accur', 'when', ""they'r"", 'work', 'togeth', 'swarm']"
154,"['thi', 'interact', 'system,', 'with', 'watch', 'their', 'behaviors,', 'then', 'they', 'just', 'took', 'vote', 'poll', 'survey']"
155,"['example,', 'studi', 'with', 'with', 'where', 'look', 'group', 'traders,', 'financi', 'traders,', 'them', 'predict', 'price', 'gold,', 'price', 'oil,', 'five', 'hundr']"
156,"['they', 'would', 'alon', 'they', 'would', 'just', 'take', 'group', 'vote,', 'would', 'they', 'would', 'swarm.']"
157,"['swarm', 'constraint,', 'they', 'have', 'connect', 'same', 'time']"
158,"[""it'"", 'real', 'time', 'system,', 'they', 'would']"
159,"['would', 'question', 'would', 'come', ""that'"", 'price', 'next', 'seven', 'days,', 'then', 'these', 'group', 'thi', 'everi', 'week', 'twenti', 'consecut', 'week']"
160,"['group', 'that', 'that', 'work', 'togeth', 'swarm', 'were,', 'think,', 'thirti', 'percent', 'more', 'accur', 'forecast', 'gold', 'than', 'tradit', 'methods.']"
161,"['speaker', 'have', 'question', 'about', 'immediately,', 'which', 'is..']"
162,"['doe', 'system', 'becom', 'more', 'accur', 'with', 'more', 'peopl', 'ad', 'system.']"
163,"['speaker', 'exact', 'same', 'question', 'first,', 'which', 'mani', 'peopl', 'need,', 'origin', 'assum', 'that', 'would', 'need', 'least', 'fifti', 'people,', 'hundr', 'people,', 'when', 'look', 'swarm', 'bees,', 'swarm']"
164,"[""it'"", 'interest', 'becaus', 'thi', 'coloni', 'about', 'thousand', 'member']"
165,"['they', 'make', 'these', 'remark', 'decis']"
166,"['they', 'will', 'decid', 'home', 'move', 'into', 'thing', 'swarm,', 'they', 'onli', 'about', 'three', 'hundr', 'member', 'thousand']"
167,"['made', 'think', 'like,', 'probabl', ""don't"", 'have', 'to...']"
168,"[""don't"", 'have', 'keep', 'ad', 'members,', 'least', 'natur', 'suggest', 'that']"
169,"['what', 'found', 'depend', 'type', 'question', 'type', 'population,', 'usual', 'between', 'thirti', 'sixti', 'peopl', 'realli', 'good', 'veri', 'accur', 'forecast', 'from', 'member', 'gener', 'public,', ""we'v"", 'done', 'everi', 'year', 'ask', 'journalist', 'predict', 'oscar']"
170,"['just', 'use', 'member', 'gener', 'public', 'example,', ""we'll"", 'take', 'fifti', 'movi', 'fan', ""we'll"", 'predict', 'oscar']"
171,"['everi', 'year', ""we'll"", 'outperform', 'movi', 'critic', 'york', 'time', 'post', 'varieti', 'vaniti', 'fair', 'becaus', 'peopl', 'smart', 'combin', 'their', 'insight', 'they', 'smarter']"
172,"['thing', 'that', 'surpris', 'most', 'that', 'it...']"
173,"['when', 'have', 'real', 'experts,', 'peopl', 'just', 'member', 'public,', 'train', 'professionals,', 'down', 'pretti', 'small', 'group', 'studi', 'with', 'stanford', 'medic', 'school', 'that', 'fund', 'nsf,', 'where', 'brought', 'group', 'doctors,', 'them', 'diagnos', 'chest', 'ray', 'swarm']"
174,['the..']
175,"['these', 'doctor', 'would', 'either', 'just', 'work', 'their', 'make', 'diagnosi', 'they', 'would', 'take', 'vote', 'survey', 'they', 'would', 'togeth', 'swarm', 'converg', 'diagnosi']"
176,"['actual', 'would', 'their', 'screen', 'then', 'they', 'would', 'swarm', 'converg']"
177,"['studi', 'that', 'publish', 'with', 'stanford', 'journal', 'nature,', 'digit', 'medicin', 'show', 'that', 'when', 'work', 'togeth', 'swarm,', 'doctor', 'could', 'reduc', 'their', 'diagnost', 'error', 'over', 'thirti', 'percent.']"
178,"['just', 'four', 'five', 'doctor']"
179,"[""wasn't"", 'thirti', ""wasn't"", 'fifti']"
180,"['these', 'expert', 'just', 'four', 'five', 'peopl', 'work', 'togeth', 'system']"
181,"['could', 'make', 'signific', 'improvement.']"
182,"['speaker', 'given', 'your', 'background,', 'obviously,', ""we'r"", 'immers', 'technolog', 'data', 'with', 'virtual', 'augment', 'individu', 'obviously,', ""we'r"", 'discuss', 'brave', 'world', 'meta']"
183,"['potenti', 'forese', 'technolog', 'converg', 'artifici', 'intellig', 'like', 'that', ""you'r"", 'creat', 'work', 'with', 'thi', 'world', 'mess']"
184,"['speaker', 'artifici', 'intellig', 'will', 'most', 'signific', 'technolog', 'meta', 'good', 'and,', 'bad,', 'technolog', 'that', 'that', 'focu', 'realli', 'about', 'connect', 'group', 'peopl', 'real', 'time,', 'constraint', 'when', 'group', 'peopl', 'swarm', 'they', 'have', 'connect', 'togeth', 'once,', 'which', 'immers', 'world', 'great']"
185,"['immers', 'world', 'realli', 'about', 'real', 'time', 'interact']"
186,"['meta', 'world', 'where', 'will', 'have', 'abil', 'collect', 'massiv', 'amount', 'inform', 'about', 'people,', 'talk', 'about', 'that', 'more', 'detail,', 'artifici', 'intellig', 'veri', 'often', 'use', 'character', 'peopl', 'profil', 'peopl', ""it'"", 'be', 'use', 'tradit', 'world', 'crunch', 'lot', 'data', 'then', 'understand', 'thing', 'about', 'peopl']"
187,"['think', 'will', 'abl', 'understand', 'thing', 'about', 'peopl', 'even', 'form', 'more', 'meta', 'becaus', 'will', 'will', 'have', 'world', 'where', 'peopl', 'be', 'track', 'lot', 'differ', 'way']"
188,"['think', ""that'"", 'interesting.']"
189,"['think', 'think', 'will', 'learn', 'about', 'peopl']"
190,"['also', 'think', 'get', 'danger', 'becaus', 'could', 'start', 'profil', 'peopl', 'level', 'that', 'becom', 'mayb', 'predatori']"
191,"[""that'"", 'area']"
192,"['other', 'area', 'that', 'becom', 'realli', 'signific', 'there', 'will', 'control', 'avatar']"
193,"['there', 'will', 'control', 'agents,', 'avatars,', 'they', 'will', 'convers', 'they', 'will', 'veri', 'good', 'what', 'they', 'with', 'especi', 'with', 'veri', 'recent', 'surg', 'progress', 'larg', 'languag', 'models,', 'prospect', 'that', 'could', 'interact', 'with', 'virtual', 'control', 'spokesperson', 'even', 'realiz', 'that', ""person'"", 'real.']"
194,"['definit', 'within', 'reach,', 'especi', 'virtual', 'world', 'where', 'everybodi', 'look', 'like', 'avatar', 'were', 'approach', 'avatar', 'look', 'just', 'real', 'everybodi', 'else,', ""it'"", ""it'"", 'power', 'larg', 'languag', 'model,', 'will', 'abl', 'interact', 'with', 'way', 'that', 'make', 'think', ""it'"", 'real']"
195,"[""that'"", 'realli', 'interest', 'same', 'time,', ""it'"", 'also', 'danger', ""it'"", 'danger', 'becaus', 'most', 'like', 'usag', 'that', 'type', 'power', 'avatar', 'promot', 'purpos']"
196,"['power', 'spoke', 'peopl', 'that', 'gonna', 'engag', 'promot', 'convers', 'with', 'goal', 'persuad', 'product', 'servic', 'even', 'wors', 'persuad', 'believ', 'idea', 'that', 'that', 'some', 'third', 'parti', 'paid', 'influenc']"
197,"['just', 'like', 'advertis', ""today'"", 'world', 'flat', 'media,', 'thi', 'type', 'advertising,', 'will', 'target']"
198,"['will', 'approach', 'power', 'avatar', 'that', 'will', 'custom', 'design', 'most', 'persuas', 'you,', 'looks.']"
199,"['voice,', 'manner', 'cloth', 'will', 'chosen', 'base', 'your', 'profil']"
200,"['will', 'gaug', 'convers', 'about', 'product', 'servic', 'polit', 'propaganda,', 'will', 'veri', 'persuas']"
201,"['that', 'think', 'veri', 'dangerous,', 'especi', 'becaus', 'meta,', 'that', 'will', 'also', 'have', 'access', 'your', 'facial', 'features,', 'your', 'vocal', 'inflection,', 'mayb', 'even', 'some', 'your', 'vital', 'signs,', 'blood', 'pressur', 'heart', 'rate']"
202,"['could', 'find', 'ourselv', 'virtual', 'future,', 'where', ""we'r"", 'engag', 'virtual', 'spoke', 'that', 'driven', 'that', 'have', 'access', 'person', 'histori', 'that', 'know', 'likes,', 'tendenc']"
203,"['know', ""we'r"", 'most', 'like', 'persuaded.']"
204,"[""it'"", 'read', 'facial', 'expressions,', 'mayb', 'even', 'heart', 'rate,', 'blood', 'pressure,', 'whole', 'point', 'virtual', 'realiti', 'augment', 'realiti', 'blur', 'boundari', 'between', ""what'"", 'authent', ""what'"", 'not.']"
205,"['speaker', 'guess,', 'feel', 'sens', 'respons', 'that', 'area', 'growth', 'matter', 'given', 'fact', 'that', ""you'r"", 'larg', 'respons', 'earli', 'pioneer', 'earli', 'growth', 'when', 'these', 'concern', 'probabl', ""weren't,"", 'major', 'thing.']"
206,"['speaker', 'peopl', 'have', 'been', 'promot', 'technolog', 'long', 'time,', 'have', 'respons', 'say,', 'hey,', 'thi', 'potenti', 'make', 'thi', 'magic', 'world,', 'there', 'need', 'some', 'guard', 'rail', 'place', 'becaus', 'utopian', 'vision', 'could', 'distort']"
207,"['think', 'people,', 'look', 'what', 'happen', 'with', 'social', 'media', 'say,', 'hey,', 'thing', ""don't"", 'alway', 'turn', 'expect']"
208,"['social', 'media,', ""it'"", 'great', 'concept', 'utopian', 'vision,', 'realli', 'utopian', 'benefit', 'bring', 'world', 'togeth', 'gave', 'voic', 'billion', 'peopl']"
209,"['potenti', 'democrat', 'society,', 'same', 'time,', 'there', 'were', 'guard', 'rail', 'place', 'social', 'media,', 'creat', 'these', 'creat', 'inadvertently,', 'system', 'that', 'also', 'polar', 'societi', 'spread', 'misinform', 'disinform']"
210,"['think', 'learn', 'from', 'that', 'say,', 'hey,', ""let'"", 'think', 'about', 'both', 'good', 'that', ""don't"", 'have', 'anoth', 'utopian', 'technolog', 'that']"
