,sentences
65,"['people', 'often', 'happened', 'happen', 'happened', 'internet', 'happened', 'important', 'critical', 'technology', 'virtual', 'world', 'boom', 'happened', 'every', 'ounce', 'excitement', 'every', 'dollar', 'venture', 'capital', 'went', 'building', 'basic', 'flat', 'business']"
66,"['reality', 'fell', 'favor', 'decade', 'probably', 'fifteen', 'year']"
67,"['gonna', 'question', 'sitting', 'twenty', 'twelve']"
68,"['hearing', 'gonna', 'next', 'biggest', 'thing', 'thinking', 'said', 'thinking', 'yeah', 'time']"
69,"['twenty', 'twelve', 'started', 'come', 'back', 'really', 'around', 'twenty', 'fourteen']"
70,['really']
71,"['started', 'kinda', 'hype', 'nineteen', 'ninety', 'five']"
72,"['time', 'twenty', 'fourteen', 'working', 'professor', 'california', 'state', 'university', 'teaching', 'course', 'entrepreneurship', 'actually', 'advising', 'variety', 'company', 'ended', 'advising', 'student', 'startup', 'world']"
74,"['know', 'distinctly', 'remember', 'saying', 'thing', 'learned', 'space', 'thing', 'take', 'longer', 'expect', 'hype', 'around', 'early', 'twenty', 'ten', 'felt', 'okay']"
75,"['getting', 'closer']"
76,"['probably', 'little', 'overly', 'optimistic']"
77,"['advice', 'start', 'time', 'prepare']"
78,"['stain', 'long', 'haul', 'gonna', 'business', 'plan', 'realizes', 'three', 'year']"
79,"['seven', 'year', 'plan']"
80,"['personal', 'time', 'keep', 'real']"
81,['time']
82,"['industry', 'really', 'coalesce', 'around', 'concept', 'startup', 'venture', 'capitalist', 'major', 'corporation', 'investing', 'meta', 'really', 'happen', 'level', 'realizes', 'excitement', 'people', 'know', 'thirty', 'year']"
83,"['last', 'twelve', 'eighteen', 'month', 'really', 'largest', 'company', 'world']"
84,"['realized', 'important', 'consumer', 'business']"
85,"['important', 'mainstream', 'computing']"
86,"['planning', 'future', 'meta', 'significant', 'part']"
87,"['virtual', 'meta', 'augmented', 'matter']"
88,"['virtual', 'meta', 'fully', 'simulated', 'world', 'people', 'avatar', 'augmented', 'universe', 'virtual', 'layer', 'real', 'world', 'reason', 'split', 'mind', 'really', 'different', 'industry', 'evolve', 'parallel', 'coming', 'evolving', 'existing', 'industry']"
89,"['virtual', 'meta', 'evolving', 'gaming', 'industry', 'social', 'medium', 'industry', 'whereas']"
90,"['virtual', 'meta', 'fully', 'virtual', 'world', 'evolve', 'really', 'focused', 'socializing', 'entertainment', 'shopping', 'gaming', 'fully', 'simulated', 'world', 'whereas', 'augmented', 'meta', 'versus', 'really', 'evolving', 'mobile', 'phone', 'industry', 'evolving', 'handheld', 'phone', 'turn', 'augmented', 'reality', 'eyewear', 'wear', 'really', 'mobile', 'medium']"
91,"['different', 'player', 'different', 'focus', 'different', 'interaction']"
92,"['happening', 'parallel']"
93,"['personal', 'view', 'actually', 'easier', 'predict', 'augmented', 'matter', 'looking', 'time', 'frame', 'thing', 'evolve']"
94,"['easier', 'predict', 'rapid', 'adoption', 'augmented', 'meta', 'whereas', 'fully', 'virtual', 'meta', 'little', 'harder', 'predict']"
95,"['really', 'depends', 'people', 'wanting', 'spend', 'significant', 'amount', 'time', 'fully', 'simulated', 'world']"
96,"['interesting', 'people', 'think', 'virtual', 'world', 'obviously', 'first', 'interesting', 'aspect', 'matter', 'versus', 'able', 'bring', 'digital', 'content', 'real', 'world', 'creating', 'kind', 'connection', 'digital', 'real']"
97,"['probably', 'fascinating', 'aspect', 'think', 'right', 'talking', 'augmented', 'matter', 'evolution', 'mobile', 'market']"
98,"['think', 'situation', 'right', 'life', 'without', 'mobile', 'phone', 'le', 'meaningful', 'mobile', 'phone', 'connected']"
99,['thing']
100,['work']
101,"['connect', 'friend', 'check', 'news']"
102,"['data', 'information', 'coming', 'towards']"
103,"['future', 'gonna', 'probably', 'important', 'vital', 'gonna', 'also', 'connected', 'directly', 'meaning', 'reality']"
104,"['really', 'meta', 'transition', 'information', 'stuck', 'little', 'flat', 'window', 'hand', 'information', 'placed', 'world', 'natural', 'intuitive', 'location', 'location', 'want']"
105,"['really', 'augmented', 'meta', 'human', 'agonizing', 'technology', 'information', 'form', 'perception', 'system', 'designed', 'perceive']"
106,"['spatial', 'content', 'around']"
107,['content']
108,"['potential', 'augmented', 'augmented', 'reality', 'augmented', 'extreme', 'make', 'world', 'natural', 'downside', 'cutting', 'real', 'world']"
109,"['like', 'think', 'adoption', 'path', 'thing', 'okay']"
110,"['back', 'think', 'thousand', 'seven', 'everybody', 'using', 'flip', 'phone', 'nobody', 'thought', 'needed', 'smartphone', 'nobody', 'thought', 'would', 'ever', 'spend', 'thousand', 'dollar', 'phone', 'apple', 'launch', 'iphone']"
111,"['within', 'five', 'year', 'smartphones', 'went', 'zero', 'completely', 'replacing', 'flip', 'phone', 'market', 'despite', 'fact', 'significantly', 'expensive', 'major', 'major', 'corporation', 'launch', 'augmented', 'reality', 'could', 'exact', 'kind', 'transition', 'happening', 'first', 'supported', 'developer', 'creating', 'interesting', 'content', 'apple', 'launch', 'augmented', 'reality', 'eyewear', 'interesting', 'creative', 'content', 'quickly', 'point', 'people', 'eyewear', 'feel', 'like', 'missing', 'content']"
112,"['actually', 'feel', 'actually', 'feel', 'even', 'intensely', 'difference', 'smartphone', 'flip', 'phone']"
113,"['literally', 'thing', 'world', 'even']"
114,"['early', 'twenty', 'thirty', 'could', 'really', 'augmented', 'meta', 'really', 'changing', 'society', 'changing', 'people']"
115,"['pioneer', 'year', 'field', 'virtual', 'reality']"
116,"['started', 'foundation', 'call', 'augmented', 'reality']"
117,"['operating', 'field', 'artificial', 'intelligence']"
118,"['tell', 'little', 'first', 'step']"
120,"['background', 'interest', 'really', 'technology', 'used', 'amplify', 'human', 'ability']"
121,"['interest', 'really', 'interface', 'human', 'computer', 'interest', 'initially', 'virtual', 'reality', 'augmented', 'reality', 'technology', 'allow', 'people', 'perform', 'task', 'better', 'long', 'time', 'really', 'focused', 'technology', 'make', 'enhance', 'single', 'individual', 'performance']"
122,"['virtual', 'fixture', 'platform', 'built', 'force', 'allow', 'people', 'like', 'perform', 'manual', 'task', 'augmented', 'reality', 'could', 'perform', 'task', 'faster', 'better', 'year', 'started', 'really', 'thinking', 'individual', 'group', 'people']"
123,"['technology', 'enable', 'group', 'people', 'perform', 'better', 'started', 'look', 'looking', 'artificial', 'intelligence', 'thing', 'connect', 'group', 'people', 'together', 'better']"
124,"['group', 'make', 'better', 'decision', 'better', 'prediction', 'better', 'forecast']"
125,"['really', 'path']"
126,"['using', 'really', 'unique', 'connect', 'group', 'people', 'together', 'make', 'collectively', 'smarter']"
127,"['developed', 'technology', 'call', 'swarm']"
128,"['called', 'thing', 'year', 'really', 'thinking']"
129,"['make', 'group', 'intelligent']"
130,"['like', 'many', 'know', 'type', 'technology']"
131,"['always', 'useful', 'back', 'look', 'nature']"
132,['nature']
133,"['turn', 'nature', 'spent', 'hundred', 'plane', 'year', 'evolving', 'method', 'large', 'group', 'actually', 'optimize', 'combined', 'intelligence']"
134,"['biologist', 'call', 'swarm', 'intelligence', 'swarm', 'intelligence', 'reason', 'bird', 'flock', 'fish', 'school', 'swarm']"
135,"['significantly', 'smarter', 'together', 'alone']"
136,"['make', 'much', 'better', 'decision']"
138,"['term', 'swarm', 'intelligence', 'think', 'school']"
139,"['school', 'fish', 'could', 'thousand', 'individual']"
140,"['slightly', 'different', 'view', 'world']"
141,"['slightly', 'different', 'historical', 'memory', 'experience']"
142,"['slightly', 'different', 'personality', 'charge']"
143,"['fish', 'charge', 'school', 'fish', 'navigate', 'ocean', 'make', 'good', 'decision', 'successful', 'specie', 'hundred', 'million', 'year', 'working', 'together', 'system']"
144,"['take', 'vote']"
145,"['take', 'poll']"
147,"['take', 'survey']"
149,"['work', 'real', 'time', 'system', 'pushing', 'pulling', 'little', 'signal', 'allow', 'group', 'make', 'make', 'really', 'good', 'decision']"
150,"['biologist', 'would', 'call', 'super', 'organism']"
151,"['founded', 'unanimous', 'seven', 'year', 'bird', 'bee', 'fish', 'smarter', 'system', 'allow', 'group', 'people', 'come', 'together', 'system']"
152,"['built', 'system', 'called', 'swarm']"
153,"['group', 'people', 'making', 'forecast', 'making', 'decision', 'thirty', 'forty', 'percent', 'accurate', 'working', 'together', 'swarm']"
154,"['interactive', 'system', 'watching', 'behavior', 'took', 'vote', 'poll', 'survey']"
155,"['example', 'study', 'looked', 'group', 'trader', 'financial', 'trader', 'predict', 'price', 'gold', 'price', 'five', 'hundred']"
156,"['would', 'alone', 'would', 'taking', 'group', 'vote', 'would', 'would', 'swarm']"
157,"['swarm', 'constraint', 'connected', 'time']"
158,"['real', 'time', 'system', 'would']"
159,"['would', 'question', 'would', 'come', 'price', 'next', 'seven', 'day', 'group', 'every', 'week', 'twenty', 'consecutive', 'week']"
160,"['group', 'work', 'together', 'swarm', 'think', 'thirty', 'percent', 'accurate', 'forecasting', 'gold', 'traditional', 'method']"
161,"['question', 'immediately']"
162,"['system', 'become', 'accurate', 'people', 'added', 'system']"
163,"['exact', 'question', 'first', 'many', 'people', 'need', 'originally', 'assumed', 'would', 'need', 'least', 'fifty', 'people', 'hundred', 'people', 'looked', 'swarm', 'bee', 'swarm']"
164,"['interesting', 'colony', 'thousand', 'member']"
165,"['make', 'remarkable', 'decision']"
166,"['decide', 'home', 'move', 'thing', 'swarm', 'three', 'hundred', 'member', 'thousand']"
167,"['made', 'think', 'like', 'probably']"
168,"['keep', 'adding', 'member', 'least', 'nature', 'suggest']"
169,"['found', 'depends', 'type', 'question', 'type', 'population', 'usually', 'thirty', 'sixty', 'people', 'really', 'good', 'accurate', 'forecast', 'member', 'general', 'public', 'done', 'every', 'year', 'asked', 'journalist', 'predict', 'oscar']"
170,"['using', 'member', 'general', 'public', 'example', 'take', 'fifty', 'movie', 'fan', 'predict', 'oscar']"
171,"['every', 'year', 'outperform', 'movie', 'critic', 'york', 'time', 'post', 'variety', 'vanity', 'fair', 'people', 'smart', 'combine', 'insight', 'smarter']"
172,"['thing', 'surprised']"
173,"['real', 'expert', 'people', 'member', 'public', 'trained', 'professional', 'pretty', 'small', 'group', 'study', 'stanford', 'medical', 'school', 'funded', 'brought', 'group', 'doctor', 'diagnose', 'chest', 'ray', 'swarm']"
175,"['doctor', 'would', 'either', 'work', 'make', 'diagnosis', 'would', 'take', 'vote', 'survey', 'would', 'together', 'swarm', 'converge', 'diagnosis']"
176,"['actually', 'would', 'screen', 'would', 'swarm', 'converge']"
177,"['study', 'published', 'stanford', 'journal', 'nature', 'digital', 'medicine', 'showed', 'working', 'together', 'swarm', 'doctor', 'could', 'reduce', 'diagnostic', 'error', 'thirty', 'percent']"
178,"['four', 'five', 'doctor']"
179,"['thirty', 'fifty']"
180,"['expert', 'four', 'five', 'people', 'working', 'together', 'system']"
181,"['could', 'make', 'significant', 'improvement']"
182,"['given', 'background', 'obviously', 'immersive', 'technology', 'data', 'virtual', 'augmented', 'individuality', 'obviously', 'discussion', 'brave', 'world', 'meta']"
183,"['potentially', 'foresee', 'technology', 'convergence', 'artificial', 'intelligence', 'like', 'creating', 'work', 'world', 'mess']"
184,"['artificial', 'intelligence', 'significant', 'technology', 'meta', 'good', 'technology', 'focus', 'really', 'connecting', 'group', 'people', 'real', 'time', 'constraint', 'group', 'people', 'swarm', 'connected', 'together', 'immersive', 'world', 'great']"
185,"['immersive', 'world', 'really', 'real', 'time', 'interaction']"
186,"['meta', 'world', 'ability', 'collect', 'massive', 'amount', 'information', 'people', 'talk', 'detail', 'artificial', 'intelligence', 'often', 'used', 'characterize', 'people', 'profile', 'people', 'used', 'traditional', 'world', 'crunch', 'lot', 'data', 'understand', 'thing', 'people']"
187,"['think', 'able', 'understand', 'thing', 'people', 'even', 'form', 'meta', 'world', 'people', 'tracked', 'lot', 'different', 'way']"
188,"['think', 'interesting']"
189,"['think', 'think', 'learn', 'people']"
190,"['also', 'think', 'get', 'dangerous', 'could', 'start', 'profile', 'people', 'level', 'become', 'maybe', 'predatory']"
191,['area']
192,"['area', 'becomes', 'really', 'significant', 'controlled', 'avatar']"
193,"['controlled', 'agent', 'avatar', 'conversational', 'good', 'especially', 'recent', 'surge', 'progress', 'large', 'language', 'model', 'prospect', 'could', 'interact', 'virtual', 'controlled', 'spokesperson', 'even', 'realize', 'person', 'real']"
194,"['definitely', 'within', 'reach', 'especially', 'virtual', 'world', 'everybody', 'look', 'like', 'avatar', 'approached', 'avatar', 'look', 'real', 'everybody', 'else', 'powered', 'large', 'language', 'model', 'able', 'interact', 'way', 'make', 'think', 'real']"
195,"['really', 'interesting', 'time', 'also', 'dangerous', 'dangerous', 'likely', 'usage', 'type', 'powered', 'avatar', 'promotional', 'purpose']"
196,"['powered', 'spoke', 'people', 'gonna', 'engage', 'promotional', 'conversation', 'goal', 'persuading', 'product', 'service', 'even', 'worse', 'persuading', 'believe', 'idea', 'third', 'party', 'paid', 'influence']"
197,"['like', 'advertising', 'today', 'world', 'flat', 'medium', 'type', 'advertising', 'targeted']"
198,"['approached', 'powered', 'avatar', 'custom', 'designed', 'persuasive', 'look']"
199,"['voice', 'manner', 'clothing', 'chosen', 'based', 'profile']"
200,"['gauge', 'conversation', 'product', 'service', 'political', 'propaganda', 'persuasive']"
201,"['think', 'dangerous', 'especially', 'meta', 'also', 'access', 'facial', 'feature', 'vocal', 'inflection', 'maybe', 'even', 'vital', 'sign', 'blood', 'pressure', 'heart', 'rate']"
202,"['could', 'find', 'virtual', 'future', 'engaged', 'virtual', 'spoke', 'driven', 'access', 'personal', 'history', 'know', 'like', 'tendency']"
203,"['know', 'likely', 'persuaded']"
204,"['reading', 'facial', 'expression', 'maybe', 'even', 'heart', 'rate', 'blood', 'pressure', 'whole', 'point', 'virtual', 'reality', 'augmented', 'reality', 'blur', 'boundary', 'authentic']"
205,"['guess', 'feel', 'sense', 'responsibility', 'area', 'growth', 'matter', 'given', 'fact', 'largely', 'responsible', 'early', 'pioneering', 'early', 'growth', 'concern', 'probably', 'major', 'thing']"
206,"['people', 'promoting', 'technology', 'long', 'time', 'responsibility', 'potential', 'make', 'magical', 'world', 'need', 'guard', 'rail', 'place', 'utopian', 'vision', 'could', 'distorted']"
207,"['think', 'people', 'look', 'happened', 'social', 'medium', 'thing', 'always', 'turn', 'expect']"
208,"['social', 'medium', 'great', 'concept', 'utopian', 'vision', 'really', 'utopian', 'benefit', 'bringing', 'world', 'together', 'gave', 'voice', 'billion', 'people']"
209,"['potential', 'democrat', 'society', 'time', 'guard', 'rail', 'place', 'social', 'medium', 'created', 'created', 'inadvertently', 'system', 'also', 'polarized', 'society', 'spread', 'misinformation', 'disinformation']"
210,"['think', 'learn', 'think', 'good', 'another', 'utopian', 'technology']"
211,"['gonna', 'like', 'robert', 'famously', 'people', 'like', 'guess', 'bill', 'gate', 'like', 'mark', 'cuban', 'past', 'like', 'vocal', 'limited', 'guess', 'like', 'screen', 'time', 'child', 'like', 'mobile', 'phone', 'think', 'okay', 'child', 'phone', 'fourteen', 'twenty', 'thousand', 'seven', 'guess', 'sign']"
212,"['would', 'guess', 'child', 'virtual', 'reality']"
213,"['would', 'enter', 'matter', 'opinion']"
214,['today']
215,"['think', 'child', 'young', 'people', 'going', 'technology', 'young', 'people', 'restrict', 'actually', 'creating', 'social', 'problem']"
216,"['necessarily', 'choice']"
217,"['head', 'curve']"
218,"['right', 'people', 'right', 'pretty', 'young', 'people', 'minecraft', 'roadblock', 'like', 'real', 'world', 'whole', 'generation', 'growing', 'minecraft', 'roadblock']"
219,"['side', 'ultimately', 'whether', 'could', 'steer', 'people', 'away', 'using', 'right', 'transition', 'point', 'people', 'choice']"
220,"['people', 'choice', 'right', 'really', 'smartphone']"
221,"['choice', 'internet', 'disadvantage']"
222,"['augmented', 'reality']"
223,"['disadvantage', 'shopping', 'reality']"
224,['question']
225,"['point', 'view', 'like', 'three', 'five', 'thing', 'happen', 'order', 'protect', 'consumer', 'meta', 'user', 'future']"
226,"['also', 'implemented', 'implemented', 'platform', 'level']"
227,"['implemented', 'country', 'governance', 'level', 'city', 'implemented', 'like', 'sort', 'united', 'nation', 'digital', 'human', 'right', 'kind', 'declaration']"
228,"['think', 'implemented', 'could', 'could', 'platform', 'could', 'government', 'could', 'digital', 'human', 'right']"
229,"['think', 'concern', 'term', 'regulation', 'would', 'happen', 'really', 'putting', 'guard', 'rail', 'platform']"
230,"['character', 'rail', 'like', 'tree', 'five']"
231,"['yeah', 'protect']"
232,"['broad', 'category', 'tracking']"
233,"['right', 'fight', 'nature', 'meta', 'know']"
234,"['right', 'know', 'orientation', 'could', 'tracking', 'gate', 'posture', 'know', 'stuff', 'order', 'simulate', 'world', 'around']"
235,"['store', 'information']"
236,['limitation']
237,"['storage', 'mean', 'store', 'information', 'time']"
238,"['need', 'information', 'order', 'simulate', 'experience', 'real', 'time']"
239,"['think', 'limitation', 'tracking', 'really', 'storing', 'information', 'time', 'giving', 'ability', 'profile', 'people']"
240,"['come', 'ability', 'track', 'motion', 'throughout', 'could', 'predict', 'behavior']"
241,"['could', 'motion', 'data', 'prop', 'actually', 'predict', 'health', 'problem', 'putting', 'limit', 'making', 'clear', 'distinction', 'data', 'needed', 'real', 'time', 'providing', 'real', 'time', 'simulated', 'immersive', 'experience', 'magical', 'educational', 'informative']"
242,"['think', 'fully', 'possible']"
243,"['think', 'store', 'information', 'time']"
244,"['input', 'side']"
245,"['output', 'side', 'meta', 'platform', 'ability', 'take', 'whatever', 'information', 'profile', 'target', 'content', 'advertising', 'like', 'social', 'medium', 'think', 'really', 'different', 'targeted', 'content', 'meta', 'versus', 'targeted', 'content', 'social', 'medium', 'today', 'world', 'advertisement', 'pop', 'clear', 'advertisement']"
247,"['video', 'meta', 'advertising', 'become', 'immersive']"
248,"['flat', 'content', 'immersive', 'experience']"
249,"['advertisement', 'promotion', 'propaganda', 'become', 'experience', 'could', 'become', 'indistinguishable', 'real', 'real', 'event', 'real', 'activity', 'world']"
250,"['example', 'could', 'give', 'would', 'call', 'promotional', 'altered', 'experience']"
251,"['imagine', 'walking', 'street', 'virtual', 'world', 'maybe', 'augmented', 'world', 'parked', 'never', 'seen', 'notice', 'people', 'standing', 'outside', 'conversation', 'talk', 'driver', 'telling', 'friend', 'amazing']"
252,"['walked', 'past', 'might', 'think', 'authentic', 'experience', 'could', 'subconsciously', 'influence', 'like', 'people', 'live', 'around', 'really', 'think', 'great', 'feature']"
253,"['might', 'realize']"
255,"['injected', 'world', 'targeted', 'advertisement', 'experience', 'chose', 'color', 'chose', 'virtual', 'spoke', 'people', 'gender', 'clothing', 'baked', 'maximize', 'persuasion', 'might', 'idea']"
256,"['idea', 'promotional', 'altered', 'experience', 'happen', 'meta', 'could', 'indistinguishable', 'authentic', 'experience', 'really', 'dangerous', 'change', 'view', 'reality']"
257,"['something', 'targeted', 'promotional', 'experience', 'look', 'different']"
258,"['look', 'different']"
259,"['sound', 'different', 'consumer', 'user', 'able', 'virtual', 'people', 'talking']"
260,['fine']
261,"['look', 'different']"
262,['yeah']
263,"['look', 'different', 'stan', 'look', 'different', 'promotional', 'proper', 'context', 'natural', 'skepticism', 'yeah', 'placed']"
264,"['think', 'could', 'four', 'hour', 'topic']"
265,"['said', 'fascinating', 'like', 'taking', 'know']"
266,"['second', 'northern', 'knowledge']"
267,['wanted']
268,"['something', 'talking', 'automated', 'profiling', 'system', 'potentially', 'know', 'purchase', 'product', 'persuade', 'people', 'invest', 'money', 'product']"
269,"['take', 'happen', 'automate', 'system', 'could', 'potentially', 'happen', 'also', 'actor', 'real', 'people', 'going', 'matter', 'knowing', 'something', 'real', 'life']"
270,"['matter', 'fact', 'gonna', 'automated', 'matter', 'need', 'appear', 'paid', 'advertising']"
271,['also']
272,"['regulation', 'need', 'happen', 'also', 'term', 'behavior', 'real', 'people', 'tracked', 'someone', 'measure', 'chaperone', 'place', 'order', 'protect', 'inhabitant', 'kind', 'behavior']"
273,"['really', 'important', 'reason', 'strict', 'control', 'around', 'identity']"
274,"['said', 'wanna', 'point', 'even', 'though', 'could', 'human', 'actor', 'controlled', 'avatar', 'ultimately', 'powerful', 'also', 'cheaper', 'implement']"
275,['scale']
276,"['scale', 'even', 'even', 'powerful']"
277,"['meta', 'announced', 'putting', 'facial', 'record', 'facial', 'tracking', 'expression', 'tracking']"
278,['headset']
279,"['really', 'good', 'reason', 'facial', 'tracking', 'headset', 'avatar', 'could', 'express', 'human', 'emotion']"
280,"['human', 'icing', 'thing', 'positive']"
281,"['hand', 'emotional', 'analysis', 'real', 'time', 'advertising', 'controlled', 'avatar', 'engaging', 'emotional', 'conversation', 'adjust', 'tactic', 'real', 'time', 'based', 'emotion', 'expressing', 'turn', 'actually', 'better', 'detecting', 'emotion', 'potentially', 'human', 'actually', 'detect', 'called', 'micro', 'expression', 'happen', 'quickly', 'subtly', 'human', 'salesperson', 'recognize']"
282,"['think', 'consumer', 'would', 'would', 'appreciate', 'guard', 'rail', 'place', 'said', 'motion', 'detection', 'real', 'time', 'adapt', 'advertisement']"
283,"['think', 'platform', 'would', 'benefit', 'consumer', 'lose', 'trust', 'hurt', 'hurt', 'whole', 'industry', 'guard', 'rail', 'place', 'people', 'feel', 'safe', 'meta', 'good', 'whole', 'industry']"
284,"['time', 'gonna', 'nick', 'part']"
285,"['could', 'whole', 'conversation', 'final', 'topic', 'care']"
286,"['absolutely', 'fascinating', 'sure', 'listener', 'viewer', 'source', 'interested', 'well']"
287,"['thank', 'much', 'time']"
288,['yeah']
290,['thanks']
291,['great']
292,"['know', 'catch', 'full', 'episode', 'field', 'subscribing', 'youtube']"
293,"['spotify', 'apple', 'music', 'wherever', 'podcast', 'miss', 'another', 'immersive', 'technology', 'moment']"
294,"['subscribe', 'today']"
295,"['development', 'investment', 'experience', 'metaverse']"
296,"['meta', 'emerging', 'next', 'technology', 'platform', 'attracting', 'online', 'game', 'maker', 'social', 'network', 'plenty', 'investment']"
297,"['share', 'lot', 'hype', 'surrounding', 'meta']"
298,"['also', 'lot', 'substance', 'development', 'exciting', 'podcast', 'series', 'meta', 'brought', 'bloomberg', 'intelligence']"
299,"['break', 'biggest', 'development', 'bring', 'interesting', 'mine', 'building', 'investing', 'experiencing']"
300,"['matthew', 'senior', 'equity', 'research', 'channel', 'bloomberg', 'audience']"
