,sentences
21,"['s', 't', 'a', 'r', 't', 'e', 'd', ' ', 'r', 'e', 's', 'e', 'a', 'r', 'c', 'h', 'e', 'r', ' ', 'n', 'a', 's', 'a', ' ', 'w', 'o', 'r', 'k', 'i', 'n', 'g', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'v', 'i', 's', 'i', 'o', 'n', ' ', 's', 'y', 's', 't', 'e', 'm', 's', ' ', 'f', 'i', 'r', 's', 't', ' ', 'w', 'o', 'r', 'k', ' ', 'm', 'o', 'd', 'e', 'l', ' ', 'i', 'n', 't', 'e', 'r', ' ', 'i', 'n', 't', 'r', 'a', ' ', 'o', 'c', 'u', 'l', 'a', 'r', ' ', 'd', 'i', 's', 't', 'a', 'n', 'c', 'e', ' ', 'd', 'i', 's', 't', 'a', 'n', 'c', 'e', ' ', 'e', 'y', 'e', 's', ' ', 'w', 'r', 'i', 't', 'i', 'n', 'g', ' ', 's', 'o', 'f', 't', 'w', 'a', 'r', 'e', ' ', 's', 'p', 'e', 'n', 'd', 'i', 'n', 'g', ' ', 't', 'i', 'm', 'e', ' ', 'u', 's', 'i', 'n', 'g', ' ', 'v', 'a', 'r', 'i', 'o', 'u', 's', ' ', 'v', 'i', 's', 'i', 'o', 'n', ' ', 's', 'y', 's', 't', 'e', 'm', 's', ' ', 'i', 'm', 'm', 'e', 'd', 'i', 'a', 't', 'e', 'l', 'y', ' ', 'c', 'a', 'p', 't', 'i', 'v', 'a', 't', 'e', 'd', ' ', 'p', 'o', 't', 'e', 'n', 't', 'i', 'a', 'l', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'w', 'o', 'r', 'l', 'd', 's']"
22,"['f', 'e', 'l', 't', ' ', 'c', 'o', 'n', 'f', 'i', 'd', 'e', 'n', 't', ' ', 'g', 'o', 'n', 'n', 'a', ' ', 'c', 'h', 'a', 'n', 'g', 'e', ' ', 's', 'o', 'c', 'i', 'e', 't', 'y']"
23,"['e', 'x', 'c', 'i', 't', 'e', 'd', ' ', 's', 't', 'a', 'r', 't']"
24,"['t', 'i', 'm', 'e', ' ', 's', 'p', 'e', 'n', 'd', 'i', 'n', 'g', ' ', 'l', 'o', 't', 's', ' ', 't', 'i', 'm', 'e', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y']"
25,"['a', 'l', 's', 'o', ' ', 'l', 'i', 'k', 'e', ' ', 'r', 'e', 'a', 'l', ' ', 'w', 'o', 'r', 'l', 'd']"
26,"['f', 'e', 'l', 't', ' ', 'l', 'i', 'k', 'e', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', ' ', 'a', 'm', 'a', 'z', 'i', 'n', 'g', ' ', 'a', 'l', 's', 'o', ' ', 'f', 'e', 'l', 't', ' ', 'l', 'i', 'k', 'e', ' ', 'i', 's', 'o', 'l', 'a', 't', 'i', 'n', 'g', ' ', 'n', 'a', 't', 'u', 'r', 'a', 'l', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', 's']"
27,"['r', 'e', 'a', 'l', ' ', 'f', 'i', 'r', 's', 't', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'f', 'e', 'l', 't', ' ', 'w', 'i', 's', 'h', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 't', 'a', 'k', 'e', ' ', 'p', 'o', 'w', 'e', 'r', ' ', 's', 'p', 'l', 'a', 's', 'h', ' ', 'r', 'e', 'a', 'l', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 'b', 'a', 'c', 'k', ' ', 'p', 'h', 'r', 'a', 's', 'e', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y']"
28,"['p', 'i', 't', 'c', 'h', 'e', 'd', ' ', 'f', 'o', 'r', 'c', 'e', ' ', 'f', 'o', 'r', 't', 'u', 'n', 'a', 't', 'e', ' ', 'e', 'n', 'o', 'u', 'g', 'h', ' ', 'f', 'u', 'n', 'd', 'e', 'd', ' ', 'b', 'u', 'i', 'l', 'd', ' ', 'f', 'i', 'r', 's', 't', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'f', 'u', 'n', 'c', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 's', 'y', 's', 't', 'e', 'm']"
29,"['c', 'a', 'l', 'l', 'e', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'f', 'i', 'x', 't', 'u', 'r', 'e', 's', ' ', 'p', 'l', 'a', 't', 'f', 'o', 'r', 'm']"
30,"['c', 'r', 'a', 'z', 'y', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'r', 'e', 'q', 'u', 'i', 'r', 'e', 'd', ' ', 'm', 'i', 'l', 'l', 'i', 'o', 'n', ' ', 'd', 'o', 'l', 'l', 'a', 'r', 's', ' ', 'h', 'a', 'r', 'd', 'w', 'a', 'r', 'e']"
31,"['v', 'i', 's', 'i', 'o', 'n', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'h', 'a', 'n', 'g', 'i', 'n', 'g', ' ', 'c', 'e', 'i', 'l', 'i', 'n', 'g']"
32,"['e', 'x', 'o', 's', 'k', 'e', 'l', 'e', 't', 'o', 'n', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'w', 'e', 'a', 'r']"
33,"['m', 'i', 'g', 'h', 't', ' ', 's', 'e', 'e', 'n', ' ', 'p', 'i', 'c', 't', 'u', 'r', 'e', 's']"
34,"['s', 'k', 'e', 'l', 'e', 't', 'o', 'n', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 't', 'r', 'a', 'c', 'k', ' ', 'h', 'a', 'n', 'd', ' ', 'm', 'o', 't', 'i', 'o', 'n', 's', ' ', 'f', 'e', 'e', 'd', 'b', 'a', 'c', 'k', ' ', 'f', 'e', 'e', 'd', 'b', 'a', 'c', 'k']"
35,"['f', 'u', 'l', 'l', 'y', ' ', 'f', 'u', 'n', 'c', 't', 'i', 'o', 'n', 'a', 'l', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'm', 'e', 'a', 'n', 'i', 'n', 'g', ' ', 'f', 'i', 'r', 's', 't', ' ', 't', 'i', 'm', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 'r', 'e', 'a', 'c', 'h', ' ', 'i', 'n', 't', 'e', 'r', 'a', 'c', 't', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'm', 'i', 'x', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'r', 'e', 'a', 'l', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 't', 'o', 'g', 'e', 't', 'h', 'e', 'r', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'o', 'b', 'j', 'e', 'c', 't', ' ', 'b', 'u', 'm', 'p', ' ', 'r', 'e', 'a', 'l', ' ', 'o', 'b', 'j', 'e', 'c', 't', ' ', 't', 'r', 'u', 'e', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'm', 'i', 'x', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e']"
36,"['g', 'r', 'e', 'a', 't', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'g', 'r', 'e', 'a', 't', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'e', 'v', 'e', 'n', ' ', 'e', 'x', 'c', 'i', 't', 'e', 'd', ' ', 'f', 'i', 'e', 'l', 'd', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'i', 'm', 'p', 'o', 'r', 't', 'a', 'n', 't', ' ', 't', 'h', 'i', 'n', 'g', ' ', 'c', 'a', 'r', 'e', 'e', 'r', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'm', 'e', 'n', 't', 's', ' ', 'b', 'r', 'o', 'u', 'g', 'h', 't', ' ', 'k', 'i', 'n', 'd', 's', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 's', 't', 'r', 'e', 'e', 't', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', ' ', 'r', 'u', 'n', 'n', 'i', 'n', 'g', ' ', 'r', 'e', 's', 'e', 'a', 'r', 'c', 'h', ' ', 's', 't', 'u', 'd', 'i', 'e', 's', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 'e', 'n', 'h', 'a', 'n', 'c', 'e', ' ', 'h', 'u', 'm', 'a', 'n', ' ', 'p', 'e', 'r', 'f', 'o', 'r', 'm', 'a', 'n', 'c', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'c', 'o', 'm', 'e', ' ', 'e', 'x', 'o', 's', 'k', 'e', 'l', 'e', 't', 'o', 'n']"
37,"['w', 'o', 'u', 'l', 'd', ' ', 't', 'e', 's', 't', 's']"
38,"['e', 'v', 'e', 'r', 'y', ' ', 's', 'i', 'n', 'g', 'l', 'e', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'l', 'i', 'k', 'e', ' ', 'a', 'm', 'a', 'z', 'i', 'n', 'g']"
39,"['n', 'i', 'n', 'e', 't', 'e', 'e', 'n', ' ', 'n', 'i', 'n', 'e', 't', 'y']"
40,"['t', 'h', 'i', 'r', 't', 'y', ' ', 'y', 'e', 'a', 'r', 's']"
41,"['t', 'h', 'i', 'n', 'k', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 't', 'a', 'k', 'e', ' ', 't', 'h', 'i', 'r', 't', 'y', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'f', 'e', 'e', 'l', ' ', 'l', 'i', 'k', 'e', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'c', 'h', 'a', 'n', 'g', 'e', ' ', 'w', 'o', 'r', 'l', 'd', 's', ' ', 'w', 'e', 'n', 't', ' ', 'b', 'a', 'c', 'k', ' ', 's', 'i', 'l', 'i', 'c', 'o', 'n', ' ', 'v', 'a', 'l', 'l', 'e', 'y', ' ', 'f', 'o', 'u', 'n', 'd', 'e', 'd', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'c', 'a', 'l', 'l', 'e', 'd', ' ', 'i', 'm', 'm', 'e', 'r', 's', 'i', 'o', 'n', ' ', 'c', 'o', 'r', 'p', 'o', 'r', 'a', 't', 'i', 'o', 'n', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 's']"
42,"['b', 'u', 'i', 'l', 't', ' ', 's', 'o', 'm', 'e', 'w', 'h', 'a', 't', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'f', 'i', 'r', 's', 't', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 's', 'i', 'm', 'u', 'l', 'a', 't', 'o', 'r', 's', ' ', 'm', 'e', 'd', 'i', 'c', 'a', 'l', ' ', 's', 'c', 'h', 'o', 'o', 'l', 's', ' ', 'd', 'o', 'c', 't', 'o', 'r', 's', ' ', 'c', 'o', 'u', 'l', 'd', ' ', 't', 'r', 'a', 'i', 'n', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'k', 'e', 'p', 't', ' ', 's', 'e', 'l', 'l', 'i', 'n', 'g', ' ', 'd', 'e', 'c', 'a', 'd', 'e', 's']"
43,"['i', 'm', 'm', 'e', 'r', 's', 'i', 'o', 'n', ' ', 'w', 'e', 'n', 't', ' ', 'p', 'u', 'b', 'l', 'i', 'c', ' ', 'n', 'i', 'n', 'e', 't', 'e', 'e', 'n', ' ', 'n', 'i', 'n', 'e', 't', 'y', ' ', 'n', 'i', 'n', 'e']"
44,"['t', 'h', 'i', 'n', 'k', ' ', 'o', 'l', 'd', 'e', 's', 't', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'd', 'a', 'y', 's']"
45,"['f', 'o', 'u', 'n', 'd', 'e', 'd', ' ', 'c', 'u', 'r', 'r', 'e', 'n', 't', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'u', 'n', 'a', 'n', 'i', 'm', 'o', 'u', 's', ' ', 'a', 'r', 't', 'i', 'f', 'i', 'c', 'i', 'a', 'l', ' ', 'i', 'n', 't', 'e', 'l', 'l', 'i', 'g', 'e', 'n', 'c', 'e', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ' ', 'f', 'o', 'c', 'u', 's', 'e', 's', ' ', 'a', 'm', 'p', 'l', 'i', 'f', 'y', 'i', 'n', 'g', ' ', 'g', 'r', 'o', 'u', 'p', ' ', 'i', 'n', 't', 'e', 'l', 'l', 'i', 'g', 'e', 'n', 'c', 'e', ' ', 's', 'h', 'a', 'r', 'e', 'd', ' ', 'e', 'n', 'v', 'i', 'r', 'o', 'n', 'm', 'e', 'n', 't', 's', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'f', 'o', 'c', 'u', 's', 'e', 'd', ' ', 's', 't', 'u', 'c', 'k', ' ', 'h', 'u', 'm', 'a', 'n', ' ', 's', 'i', 'd', 'e', ' ', 't', 'h', 'i', 'n', 'g', 's']"
46,"['s', 'e', 'c', 'o', 'n', 'd', ' ', 'p', 'a', 'r', 't', ' ', 'p', 'o', 'd', 'c', 'a', 's', 't', ' ', 'g', 'o', 'n', 'n', 'a', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'd', 'e', 'e', 'p', ' ', 'd', 'i', 'v', 'e', ' ', 'p', 'o', 't', 'e', 'n', 't', 'i', 'a', 'l', ' ', 'd', 'a', 'n', 'g', 'e', 'r', ' ', 'm', 'a', 't', 't', 'e', 'r']"
47,"['w', 'o', 'u', 'l', 'd', ' ', 'l', 'i', 'k', 'e', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'b', 'a', 'c', 'k', ' ', 's', 't', 'o', 'r', 'i', 'e', 's', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'd', 'a', 'y', 's', ' ', 'r', 'e', 'a', 'l', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'd', 'a', 'y', 's', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd']"
48,"['r', 'e', 'a', 'l', 'i', 't', 'y']"
49,"['r', 'e', 'a', 'l', ' ', 's', 't', 'a', 'r', 't', ' ', 'l', 'a', 't', 'e', ' ', 'e', 'i', 'g', 'h', 't', 'y']"
50,"['f', 'o', 'r', 't', 'u', 'n', 'a', 't', 'e', ' ', 'e', 'n', 'o', 'u', 'g', 'h', ' ', 's', 't', 'a', 'n', 'f', 'o', 'r', 'd', ' ', 'c', 'a', 'l', 'l', 'e', 'd', ' ', 'c', 'e', 'n', 't', 'e', 'r', ' ', 'd', 'e', 's', 'i', 'g', 'n', ' ', 'r', 'e', 's', 'e', 'a', 'r', 'c', 'h']"
51,"['h', 'a', 'n', 'd', 'f', 'u', 'l', ' ', 'r', 'e', 's', 'e', 'a', 'r', 'c', 'h', 'e', 'r', 's', ' ', 'l', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'l', 'o', 'o', 'k', 'i', 'n', 'g', ' ', 't', 'e', 'l', 'e', ' ', 'a', 'u', 'g', 'm', 'e', 'n', 't', 'e', 'd', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'e', 'x', 'i', 's', 't', ' ', 'b', 'a', 'c', 'k', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 't', 'h', 'i', 'n', 'k', ' ', 'c', 'u', 'r', 'r', 'e', 'n', 't', ' ', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'y', ' ', 't', 'e', 'l', 'e', 'v', 'i', 's', 'i', 'o', 'n', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 's', 'p', 'e', 'n', 't', ' ', 'd', 'e', 'c', 'a', 'd', 'e', 's', ' ', 'l', 'e', 'a', 'r', 'n', 'i', 'n', 'g', ' ', 'f', 'r', 'a', 'm', 'e', ' ', 'r', 'a', 't', 'e', ' ', 'l', 'e', 'a', 'r', 'n', 'i', 'n', 'g', ' ', 'b', 'a', 's', 'i', 'c', ' ', 'p', 'e', 'r', 'c', 'e', 'p', 't', 'i', 'o', 'n', ' ', 'c', 'a', 'p', 'a', 'b', 'i', 'l', 'i', 't', 'i', 'e', 's', ' ', 'k', 'i', 'n', 'd', ' ', 'f', 'r', 'a', 'm', 'e', ' ', 'r', 'a', 't', 'e', ' ', 'n', 'e', 'e', 'd']"
52,"['t', 'e', 'l', 'e', 'v', 'i', 's', 'i', 'o', 'n', ' ', 'l', 'o', 'o', 'k', 's', ' ', 's', 'm', 'o', 'o', 't', 'h', ' ', 'b', 'a', 'c', 'k', ' ', 'l', 'a', 't', 'e', ' ', 'e', 'i', 'g', 'h', 't', 'i', 'e', 's', ' ', 'e', 'a', 'r', 'l', 'y', ' ', 'n', 'i', 'n', 'e', 't', 'i', 'e', 's', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'a', 's', 'k', 'i', 'n', 'g', ' ', 'q', 'u', 'e', 's', 't', 'i', 'o', 'n', 's', ' ', 'i', 'm', 'm', 'e', 'r', 's', 'i', 'v', 'e', ' ', 'w', 'o', 'r', 'l', 'd', 's']"
53,"['k', 'i', 'n', 'd', ' ', 'u', 'p', 'd', 'a', 't', 'e', ' ', 'r', 'a', 't', 'e', 's', ' ', 'n', 'e', 'e', 'd', ' ', 'm', 'o', 'v', 'e', ' ', 'h', 'e', 'a', 'd', ' ', 'n', 'a', 'u', 's', 'e', 'o', 'u', 's', ' ', 'k', 'i', 'n', 'd', ' ', 'a', 'c', 'c', 'u', 'r', 'a', 't', 'e', 'l', 'y', ' ', 'b', 'u', 'i', 'l', 'd', ' ', 'm', 'o', 'd', 'e', 'l', ' ', 'i', 'n', 't', 'e', 'r', ' ', 'r', 'o', 'c', 'k', ' ', 'd', 'i', 's', 't', 'a', 'n', 'c', 'e', ' ', 'd', 'e', 'p', 't', 'h', ' ', 'p', 'e', 'r', 'c', 'e', 'p', 't', 'i', 'o', 'n']"
54,"['r', 'e', 'a', 'l', 'l', 'y', ' ', 'b', 'a', 's', 'i', 'c', ' ', 'p', 'a', 'r', 'a', 'm', 'e', 't', 'e', 'r', 's', ' ', 'r', 'e', 's', 'e', 'a', 'r', 'c', 'h', ' ', 't', 'o', 'p', 'i', 'c', 's']"
55,"['b', 'a', 'c', 'k', ' ', 'n', 'i', 'n', 'e', 't', 'y', ' ', 'n', 'i', 'n', 'e', 't', 'y', ' ', 'f', 'i', 'v', 'e']"
56,"['v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'r', 'e', 'a', 'l', 'i', 't', 'y', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 't', 'o', 'o', 'k', ' ', 'p', 'u', 'b', 'l', 'i', 'c', ' ', 'c', 'o', 'n', 's', 'c', 'i', 'o', 'u', 's', 'n', 'e', 's', 's']"
57,"['p', 'e', 'o', 'p', 'l', 'e', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'r', 'e', 'a', 'l', 'i', 'z', 'e']"
58,"['l', 'i', 'k', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 't', 'o', 'd', 'a', 'y', ' ', 'l', 'e', 'a', 's', 't', ' ', 'r', 'e', 'a', 'l', 'i', 'z', 'e', ' ', 'n', 'i', 'n', 'e', 't', 'e', 'e', 'n', ' ', 'n', 'i', 'n', 'e', 't', 'y', ' ', 'f', 'i', 'v', 'e', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'a', 'u', 'd', 'i', 'o', ' ', 'c', 'o', 'v', 'e', 'r', ' ', 'w', 'i', 'r', 'e', 'd', ' ', 'm', 'a', 'g', 'a', 'z', 'i', 'n', 'e', ' ', 's', 't', 'a', 't', 'e', 'm', 'e', 'n', 't', ' ', 's', 'a', 'y', 'i', 'n', 'g', ' ', 'n', 'e', 'x', 't', ' ', 't', 'h', 'i', 'n', 'g']"
59,"['p', 'e', 'o', 'p', 'l', 'e', ' ', 'r', 'e', 'a', 'l', 'l', 'y', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', 'd', ' ', 'b', 'a', 'c', 'k']"
60,"['e', 'i', 'g', 'h', 't', 'y', ' ', 'f', 'i', 'v', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', 'd', ' ', 'v', 'i', 'r', 't', 'u', 'a', 'l', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'e', 'v', 'e', 'r', 'y', 'w', 'h', 'e', 'r', 'e', ' ', 'w', 'i', 't', 'h', 'i', 'n', ' ', 'f', 'i', 'v', 'e', ' ', 'y', 'e', 'a', 'r', 's']"
61,"['w', 'e', 'l', 'l', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', 'r', 's']"
