,sentences
151,founded unanimous seven years birds bees fish smarter systems allow groups people come together systems
152,built system called swarm
153,groups people making forecasts making decisions thirty forty percent accurate working together swarm
154,interactive system watching behaviors took vote poll survey
155,example study looked groups traders financial traders predict price gold price five hundred
156,would alone would taking group vote would would swarm
157,swarm constraint connected time
158,real time system would
159,would question would come price next seven days groups every week twenty consecutive weeks
160,groups work together swarm think thirty percent accurate forecasting gold traditional methods
161,question immediately
162,system become accurate people added system
163,exact question first many people need originally assumed would need least fifty people hundred people looked swarms bees swarms
164,interesting colony thousand members
165,make remarkable decisions
166,decide homes move things swarm three hundred members thousand
167,made think like probably
168,keep adding members least nature suggest
169,found depends type question type population usually thirty sixty people really good accurate forecast members general public done every year asked journalists predict oscars
170,using members general public example take fifty movie fans predict oscars
171,every year outperform movie critics york times post variety vanity fair people smart combine insights smarter
172,thing surprised
173,real experts people members public trained professionals pretty small groups study stanford medical school funded brought groups doctors diagnose chest rays swarm
175,doctors would either work make diagnosis would take vote survey would together swarm converge diagnosis
176,actually would screen would swarm converge
177,study published stanford journal nature digital medicine showed working together swarm doctors could reduce diagnostic errors thirty percent
178,four five doctors
179,thirty fifty
180,experts four five people working together system
181,could make significant improvement
182,given background obviously immersive technology data virtual augmented individuality obviously discussions brave world meta
183,potentially foresee technology convergence artificial intelligence like creating work world mess
184,artificial intelligence significant technologies meta good technologies focus really connecting groups people real time constraint group people swarm connected together immersive worlds great
185,immersive worlds really real time interactions
186,meta world ability collect massive amounts information people talk detail artificial intelligence often used characterize people profile people used traditional world crunch lots data understand things people
187,think able understand things people even form meta world people tracked lots different ways
188,think interesting
189,think think learn people
190,also think gets dangerous could start profile people levels become maybe predatory
191,area
192,area becomes really significant controlled avatars
193,controlled agents avatars conversational good especially recent surge progress large language models prospect could interact virtual controlled spokesperson even realize person real
194,definitely within reach especially virtual world everybody looks like avatar approached avatar looks real everybody else powered large language model able interact ways make think real
195,really interesting time also dangerous dangerous likely usage type powered avatar promotional purposes
196,powered spokes people gonna engage promotional conversation goal persuading product service even worse persuading believe idea third party paid influence
197,like advertising today world flat media type advertising targeted
198,approached powered avatar custom designed persuasive looks
199,voice manner clothing chosen based profile
200,gauge conversation product service political propaganda persuasive
201,think dangerous especially meta also access facial features vocal inflection maybe even vital signs blood pressure heart rate
202,could find virtual future engaged virtual spokes driven access personal history knows likes tendencies
203,knows likely persuaded
204,reading facial expressions maybe even heart rate blood pressure whole point virtual reality augmented reality blur boundaries authentic
205,guess feel sense responsibility area growth matters given fact largely responsible early pioneering early growth concerns probably major thing
206,people promoting technology long time responsibility potential make magical world needs guard rails place utopian vision could distorted
207,think people look happened social media things always turn expect
208,social media great concept utopian vision really utopian benefits bringing world together gave voice billions people
209,potential democrat society time guard rails place social media created created inadvertently system also polarized society spreads misinformation disinformation
210,think learn think good another utopian technology
211,gonna like robert famously people like guess bill gates like mark cuban past like vocal limited guess like screen time children like mobile phones think okay children phone fourteen twenty thousand seven guess sign
212,would guess children virtual reality
213,would enter matter opinion
214,today
215,think children young people going technology young people restrict actually creating social problems
216,necessarily choice
217,head curve
218,right people right pretty young people minecraft roadblocks like real worlds whole generation growing minecraft roadblocks
219,side ultimately whether could steer people away using right transition point people choice
220,people choice right really smartphone
221,choice internet disadvantage
222,augmented reality
223,disadvantage shopping reality
224,question
225,point view like three five things happen order protect consumers meta users future
226,also implemented implemented platform level
227,implemented country governance level city implemented like sort united nation digital human rights kind declaration
228,think implemented could could platform could government could digital human rights
229,think concerns terms regulation would happen really putting guard rails platforms
230,character rails like tree five
231,yeah protect
232,broad category tracking
233,right fights nature meta know
234,right know orientation could tracking gate posture know stuff order simulate world around
235,store information
236,limitations
237,storage mean store information time
238,needs information order simulate experience real time
239,think limitations tracking really storing information time giving ability profile people
240,comes ability track motions throughout could predict behaviors
241,could motion data prop actually predict health problems putting limits making clear distinction data needed real time providing real time simulated immersive experience magical educational informative
242,think fully possible
243,think store information time
244,input side
245,output side meta platforms ability take whatever information profiles target content advertising like social media think really different targeted content meta versus targeted content social media today world advertisement pops clear advertisement
247,video meta advertising become immersive
248,flat content immersive experiences
249,advertisements promotion propaganda become experiences could become indistinguishable real real events real activities world
250,example could give would call promotional altered experience
251,imagine walking street virtual world maybe augmented world parked never seen notice people standing outside conversation talk driver telling friend amazing
252,walked past might think authentic experience could subconsciously influence like people live around really think great features
253,might realize
255,injected world targeted advertisement experience chose color chose virtual spokes people gender clothing baked maximize persuasion might idea
256,idea promotional altered experiences happen meta could indistinguishable authentic experiences really dangerous changes view reality
257,something targeted promotional experience look different
258,look different
259,sound different consumer user able virtual people talking
260,fine
261,looks different
262,yeah
263,looks different stan looks different promotional proper context natural skepticism yeah placed
264,think could four hours topic
265,said fascinating like taking know
266,second northern knowledge
267,wanted
268,something talking automated profiling system potentially know purchase products persuade people invest money products
269,take happen automate system could potentially happen also actors real people going matter knowing something real life
270,matter fact gonna automated matter needs appear paid advertising
271,also
272,regulation need happen also terms behaviors real people tracked someone measures chaperone place order protect inhabitants kind behaviors
273,really important reasons strict controls around identity
274,said wanna point even though could human actors controlled avatars ultimately powerful also cheaper implement
275,scale
276,scale even even powerful
277,meta announced putting facial record facial tracking expression tracking
278,headset
279,really good reason facial tracking headset avatar could express human emotions
280,human icing thing positive
281,hand emotional analysis real time advertising controlled avatar engaging emotional conversation adjust tactics real time based emotions expressing turns actually better detecting emotions potentially humans actually detect called micro expressions happen quickly subtly human salesperson recognize
282,think consumers would would appreciate guard rails place said motion detection real time adapt advertisements
283,think platforms would benefit consumers lose trust hurts hurts whole industry guard rails place people feel safe meta good whole industry
284,time gonna nick part
285,could whole conversation final topic care
286,absolutely fascinating sure listeners viewers source interested well
287,thank much time
288,yeah
290,thanks
291,great
292,know catch full episode field subscribing youtube
293,spotify apple music wherever podcast miss another immersive technology moment
294,subscribe today
295,developments investments experiences metaverse
296,meta emerging next technology platform attracting online game makers social networks plenty investment
297,share lots hype surrounding meta
298,also lots substance development exciting podcast series meta brought bloomberg intelligence
299,break biggest developments bring interesting mines building investing experiencing
300,matthew senior equity research channel bloomberg audience
301,friedman call beyond founder super social company ventured back building gains experiences
302,starting roblox
303,excited service host guide journey universe
304,incredible content gonna bring life amazing guests really going unpack opportunities excitement businesses developers creators marketers brands many work
305,first question wanna think wanna every guest eventually bring think extremely important stage help define exactly meta team company meta know meta super social characteristics shape meta view guess also importantly vein meta
306,well maybe start elimination process
307,right universe
308,think universe game
309,website also place better approach experience life internet next evolution
311,think universe really evolution internet future large scale virtual environments virtual world virtual spaces people humans world much done internet wave
312,experiences going ever persistent meaning always
313,never stops
314,also shared open
315,large scale dream course couple hundred people experience concert robots fortnite
316,actually millions people communicating placing single point time experience something together
317,going something ever immersive ever social ever expensive anything known today regards virtual words
318,think know think like provides opportunities completely reimagine virtual experiences human experiences online could look like also means gonna whole world possibilities creators make
319,could individual creators really fifty year bedroom build type experience application letter platforms
320,multi billion dollar operation like facebook decides build know next layer application could application
321,form know experiences
322,think components excited
323,number obviously meta experiences going accessible device
324,question platform people going consume information experiences going transform like mobile console
325,really matter gonna able access
326,experiences device
327,think basically device agnostic
328,second piece potentially transforming much back point going manifest universe humans living universe avatar
329,avatar even avatar
330,could many many many avatars
331,find expressing individual individuals wide area avatars maybe different type experiences maybe wanna experience music developers gonna know avatar wide
332,wanna sports bank play sports endeavors gonna text
333,think opportunities create multiple identities entities single human expressing metaphor
334,probably transformative human behavior shares think seeing since invention internet
335,think really great point expressing oneself digitally virtual accessories virtual cosmetics
336,know something done gaming tends unique single game
337,ability create different avatars create different outfits effectively closet virtual world virtual self able bring experience experience
338,huge opportunity engagement perspective revenue perspective branding perspective many business opportunities angle
339,super important point mind back kind know open world universe know audience bringing many important interesting manifest gaming
340,might start gaming gaming popularized different concept come virtual world gaming continue important kind facet potentially case
341,first several years ultimately envision like internet
342,people commerce ways
343,consume entertainment ways
344,would play games
345,would likely learn
346,gonna educational activities experiences
347,course gonna opportunities work better
348,right
349,think things super social already exploring building roblox actually build virtual words inside platform like congregate team
350,think workforce workplace another kind transformative potential trend unpack
351,gonna know many exciting ports tackle
352,matthew also done know work subject business
353,know listeners joining might newer actually means especially financial markets investors really universe market perspective market
354,stake people need think regard
355,yeah
356,really important thing tackle something bloomberg intelligence bloomberg professional subscribers
358,writing
359,look meta actually look mostly client platforms
360,others like matt ball written meta include things like networking infrastructure
361,client platform perspective know looking market represents almost eight hundred billion dollars twenty twenty four
362,basically doubling versus twenty twenty
363,know
364,includes things like like mentioned client platforms advertising opportunities entertainment content includes games games includes things like live events concerts films
365,adds eight hundred billion dollars twenty twenty four estimate
366,know reason focus kind client platforms entertainment opportunities think likely near term opportunities meta platform
367,forms
368,started talking enterprise education something roadblocks many others talked opportunities seem kind longer term play
369,folk
370,know focused kind near term points
371,know obviously huge market already
372,everyone loves talk total addressable market eight hundred billion dollars front already huge
373,able layer enterprise communications unified communications like zoom know bringing meta enterprise know education
374,think roadblocks talk much education makes much sense core user base kids school
375,right makes total sense bring education virtual realm know education really changed many hundreds years
376,know opportunities outlined
377,reports available bloomberg professional subscribers
378,awesome
379,feel like important grows know moment quite trend maybe phenomenon something much bigger people really unpack understand market different categories obviously things also kinda connect together anywhere gaming social experiences human experiences commerce games music
380,many categories content verticals know blockchain comes entities sure gonna touch upon
382,thing wanted kind getting good stuff companies platforms really leading stand members positioned best capitalized really build phenomenal experiences reimagine life would interactive experiences meta could look like
383,think massive know tsunami huge huge wave coming shores entire global population
384,know surfers gonna small
385,surfers gonna
386,clear wave everyone wave
387,secret
388,genie bottom
389,maybe think question really think contenders leaving charge universe
390,know
391,opinions love know match kind know chime first
392,well start everyone favorite including company working
393,directly
394,start roadblocks
395,know think roblox roadblocks away
396,leader moment meta
397,know everyone thinks hype market industry
398,roadblocks meta everywhere filings talk know following roadblocks like many including know meta hype
399,something building decade
400,continue invest continue build
401,know platform ubiquitous
402,across devices
403,mentioned console mobile
404,think includes know across groups across geographies
405,textbook meta
406,exists today terms multiple different types experiences ability express know avatar well developing content
407,choose route know meta today
408,yeah
409,wanna double
410,right think know talking platform
411,remember raising capital super social kind building narrative roblox
412,know create sort story narrative rewards robots need
414,make sure people think roblox kids quite astonishing aesthetics trading today roughly know fifty plus billion dollar market
415,quite astonishing year year half majority people know still refer roblox kids even biggest media outlets
416,think came long year really understand roblox opinion really defining platform sits intersection four multi billion dollar verticals
417,right dropbox roblox game engine
418,meaning allow build three game worlds multi multiplayer environments
419,number publishing distribution platform content
420,like like youtube also social network
421,messages sent daily daily active users quickbooks looks dead whatsapp
422,sixty building messages
423,rates fifty building
424,massive messaging platform social network element
425,fourth cloud service provider
426,data centers
427,right really allows developers build experiences fraction time cost also getting access know engaged audience ever media outlet average daily active user grow spending half hours plaza quite quite quite staggering data point
428,know think definitely contender driver universe already today
429,course
430,companies anywhere
431,know facebook world revolves mark zuckerberg
432,know approached facebook essentially
433,moving socially media member company likely social media genre announced like snapchat likely already thinking build part narrative universe
434,course technology providers companies like playing massive role
435,know gpus used versed created kind jensen nvidia calling kind engineers
436,really exciting many different companies
437,would
438,gonna gonna make quite statement matthew
439,sure gonna guys challenge know think part amazing course gonna forecast believe biggest success stories universe many biggest success stories going companies either born born
440,next couple years
441,think kind also learning history first wave played
442,second wave internet played know know ended therefore optimistic assuming natural biggest company gonna facebook
443,actually back today
444,like think mind meta almost like virtual shopping mall
445,every store different companies individual meta
446,facebook meta
447,roadblocks meta
448,epic meta
449,different meta people building closed platforms intersect public platforms decentralized private platforms
450,bill
451,ones succeed ones build bridges completely closed also connectivity reach
452,think ones gonna successful
453,know think companies pushing meta today
454,roblox know great core audience especially younger younger users
455,know think gonna hook
456,think epic games older terms audience really close types players users
457,think facebook gonna succeed extremely well older users really bread butter core facebook platform know think kinda look across landscape gonna different kinds meta appeal different people kinda shopping mall know maybe store goes business gets replaced something else starts
458,know
459,kinda think gonna play yeah totally agree
460,think successful companies gonna meta native
461,know gonna three many cases decentralized know talk centralized platforms know think gonna part future
462,know think company also wanna call think dark horse really make challenge calling china verse gonna china version
463,quick anecdote know people know tack know china basically separate internet know content extremely restricted
464,basically internet world
465,experience gaming industry know gaming market china effectively walled rest world
466,meta evolve probably china local platforms probably separate global platforms
467,china possibly globally global platform well
468,think byte chance gonna real dark course meta evolves know people know byte dance owner tiktok domestic called
469,short video space
470,dominant player
471,think five hundred million monthly active users even count tiktok outside china
472,know massive user base
473,investing gaming content support meta efforts gaming type content
474,know think dark horse
475,know original dark chorus call facebook months later mark zuckerberg comes says word meta fifty times earnings call
476,longer dark chorus call know think byte dance watch well
477,know think thing need talk well know mentioned roblox engine backend systems technology provider
478,know epic games large meta company well
479,really neutral switzerland looking engine looking three software unity think unity well positioned know incremental demand outside gaming customers meta really unfolds media companies others look build experiences sports teams know unity hired peter moore formerly liverpool liverpool
480,also used competitive gaming business electronic arts gaming industry executive firms
481,coming help build virtual sports business
482,know think sports huge opportunity
483,able basically build platform brands like sports teams like like music artists able create meta leveraging unity know basically white label product
484,huge opportunity unity
485,obviously also like backend systems cloud infrastructure
486,networking telecom providers benefit degree growth know look mentioned matt ball beginning
487,know thought leader
488,worked know buddies round hill investment launch successful meta checked today crossed hundred million dollars assets management successful automatic like basically less months
489,know congrats mario matt rest everyone involved
490,know terms breaks know includes areas portfolio know thinks meta
491,know think writer wrong answer
492,think companies extremely important development meta
493,know question investor looking private companies investor looking public companies interested meta overall know thinking companies gonna drive development
494,know think like telecom carrier gonna driving development extremely important development meta
495,hundred percent
496,definitely subscribe
497,think gonna enabler universe technology layer anywhere
498,internet going faster ever internet connections internet availability internet accessibility
499,still millions millions people
500,know think internet internet connectivity access internet almost human right talking world people going congregate large scale virtual environments
501,gonna need five
502,gonna need super fast internet
503,accommodate millions millions people coming together
504,think everyone access today internet know case
505,definitely companies playing role also technology companies need make internet accessible affordable order know really make next generation experiences environments world accessible everyone
506,truly much world part universe
507,access basic internet
508,know sure something still available although made incredible progress past twenty years think fifty percent world population access internet shape form
509,ultimately know matter going become evolution internet needs accessible everyone
511,happens know almost eight billion people able access experiences across play commerce games entertainment education
512,really talking another human frontier future
513,know builder entrepreneur really really really exciting
514,really forces completely reimagine going experiences going delight power expire
515,know people young people especially reshaping future
516,every
517,great segue company actually building experiences meta
518,gonna incredibly important know know analogy network technologies anything
519,need killer killer experience catalyze mass adoption know super social know know think people interested know exactly super social kinda going building experiences meta well
520,know
521,sort first hypothesis really
522,back pandemic know seeing point five billion people school know school spending time home
523,unable socialize interact friends alone study classroom
524,kind sort first realization
525,world change
526,nothing ever look think changed human behavior
527,overnight suddenly show factor whole generation socialize
528,play interact friends learn experiencing life really virtual
529,saying real life going continue critical experience slack probably even important pandemic
530,believe covid arrive kind really accelerated shift virtual experiences virtual worlds across board importantly billions young people basically basically good learning past couple years every gonna play gonna make friends
531,going socialize going primarily virtual experiences
532,think know kind biggest shift terms going next decade
533,super social excited leverage incredible cutting edge technology technical infrastructures example roblox also platforms like epic like unity like blockchain like microsoft take advantage incredible technologies infrastructures built past fifteen years take build platforms quite rapidly next generation interactive experiences virtual worlds inspire empower whole generation socialize connect play learn work universe know terms terms type experience already seeing exciting know collaborative games social games games really empower people ability opportunities creatively express
534,worlds people come together things together
535,powerful things members going fact building relationships
536,excited create content interactive experiences people young people people every excited come together play come together learn together watch watch movie
537,things using avatars manifestation personality know kind talking point gonna reiterate transition consumer internet avatar universe think shape really excited
538,building experiences consumers
539,gonna build experiences matthew young
540,gonna build experiences lord genres avatar platform
541,gonna build nasty avatar think building experiences avatar even know
542,earn name
543,know
544,know
545,whole realm possibilities kind paradigm shift moving building social application mobile phone
546,know someone really know building whole experience avatar know person
547,know human behind motivation
548,desires needs
549,know summary super social ambition really build iconic experiences members starting roblox
550,type impact wanna make building next generation household brands experiences know mask people like experienced know back nintendo super mario sega supersonic
551,type gains experiences brands continued forever decent additional super social really bring cutting edge next generation experiences starting robo roblox platform going much beyond bringing people together connect socialize creating members
552,absolutely
553,talked creating pitch investors think really strong pitch know numbers around pulls data bloomberg terminal
554,screen earlier
555,screen lately quite crazy tale know look gaming whole investment lately dedicated meta platforms
556,look venture capital investment gaming sector sitting september fourteenth
557,even third quarter
558,already smashed know record ever venture capital raising year games happened last year
559,twenty twenty exceptional year
560,ninety eight deals done raising almost three billion dollars according bloomberg data twenty twenty eclipse
561,already hundred seventeen deals done twenty twenty tracked bloomberg almost four billion dollars raised
562,already raised almost billion dollars even three quarters year
563,granted twenty twenty included huge fundraising raising rounds epic games roblox privately still know think speaks volumes amount capital flowing space
564,especially going know convergence mega themes meta decent social
565,know longer make next candy crush make next match three game
566,mean great companies deserve investment investors also looking ahead know social interaction entertainment content going meta convergence trends meta place investment going
567,hundred percent matthew think great point know five take basketball analogy
568,right think investors trail leasing investors looking kind first bounce ball
569,like
570,second balance ball
571,think investors talking still small portion venture community
572,know definitely rise things powerful full meta decent next social investors talking games next social networks
573,investors even smaller portion even talking games becoming social networks build social networks actually turning economies gonna talk
574,address blockchain element
575,know super social definitely good
576,fortunate group investors really believed iconic could really heading regards meet interactive experiences point echoing said
577,absolutely always gonna like mobile arrived people thought console games gonna like mobile console going mobile games meta experiences
578,always going great mobile game companies building mastery regain know mobile phone gonna disappear
579,obviously gonna harder already contenders dominating market
580,obviously gonna potentially less capital allocated obligated expand ventures
581,ventures continue come great
582,ecosystem
583,total addressable market going know continuously grow
584,know already said blue number eight hundred billion
585,probably crazy assume even clicks trillion total market opportunity anyone deals members think know investor today venture investor really time take stand really believe world building either decentralized separate question pretty abundantly clear next wave internet going immersive social expensive ever going enable create know humans around world
586,last companies wanted mention exposed really positively gonna owners know whether entertainment brands like disney comcast music labels
587,think biggest opportunities already seen start take concerts
588,unless like taylor swift music artist make money touring
589,know artists tour three months family
590,live
591,play show every kills health
592,know kills family kids everything
593,well mentioned early know experiences support millions people simultaneously reason virtual concert million people epic million people watch virtual concerts smaller doses
594,know reason millions people simultaneously watch concert five dollars whatever know
595,make ticket gated event sudden making money entire know national tour united states continental tour europe
596,know economics music artists skewed much touring
597,live nation successful even coming pandemic know looking brands like know labels also live nation know still best concert promotion know sorts companies along brand whether like disney even seen gucci really successful things broad roblox know opportunities capitalize meta
598,think know think talking sorts opportunities gucci actually experience inside robots someone bought virtual gucci handbag equivalent four thousand dollars
599,item sell
601,know
602,person bought avatar equivalent four thousand dollars
603,clearly opportunity brands connect different types audiences
604,meta gonna huge
605,matthew great summary point think build mentioned around exciting frontier owners artist music movies rigid piece content
606,already starting creators type opportunities coming
607,across really exciting content verticals like fashion music sports mentioned earlier know
608,fortunate investment warner music group know third largest music company world constantly exploring music really reimagine type opportunities create artists similar fashion think crazy match assume even exciting artists future actually gonna born universe
609,might actually real humans might even know conflicting avatars
610,excited riot gigs music vision started
611,complete virtual events
612,excited little nasa travis scott
613,many possibilities start look bring create content ways democrat power creating know type content making accessible know millions millions people around world
614,know able concert million people think concept moment difficult listener actually grasp
615,hard grasp going feel like concert know musician
616,together particular virtual world gonna built million people
617,heading
618,type infrastructure built
619,think impossible excited entrepreneur
620,gonna available world want help create make exciting meaningful social human ever think gonna kept people know real life really live
621,think fair always gonna real life experiences relationships
622,believe real life going feed members meta going make life even exciting used
623,building type realization definitely priority know sure many people
624,totally agree
625,know wanna know talked moving
626,rabbit hole gonna completely today
627,gonna touch come back area depths future episodes
628,people talk today meta past impact crypto blockchain entities decentralized platforms affects
