,sentences
37,"['would', 'test']"
38,"['everi', 'singl', 'would', 'like', 'amaz']"
39,"['nineteen', 'nineti']"
40,"['thirti', 'year']"
41,"['think', 'would', 'take', 'thirti', 'year', 'feel', 'like', 'realiti', 'augment', 'realiti', 'would', 'chang', 'world', 'went', 'back', 'silicon', 'valley', 'found', 'compani', 'call', 'immers', 'corpor', 'earli', 'compani']"
42,"['built', 'somewhat', 'realli', 'first', 'virtual', 'realiti', 'simul', 'medic', 'school', 'doctor', 'could', 'train', 'compani', 'kept', 'sell', 'decad']"
43,"['immers', 'went', 'public', 'nineteen', 'nineti', 'nine']"
44,"['think', 'oldest', 'realiti', 'compani', 'world', 'earli', 'day']"
45,"['found', 'current', 'compani', 'unanim', 'artifici', 'intellig', 'compani', 'focus', 'amplifi', 'group', 'intellig', 'share', 'environ', 'realli', 'focus', 'stuck', 'human', 'side', 'thing']"
46,"['second', 'part', 'podcast', 'gonna', 'realli', 'deep', 'dive', 'potenti', 'danger', 'matter']"
47,"['would', 'like', 'littl', 'back', 'stori', 'earli', 'day', 'real', 'earli', 'day', 'augment']"
48,['realiti']
49,"['real', 'start', 'late', 'eighti']"
50,"['fortun', 'enough', 'stanford', 'call', 'center', 'design', 'research']"
51,"['hand', 'research', 'look', 'realiti', 'look', 'tele', 'augment', 'realiti', 'exist', 'back', 'would', 'think', 'current', 'technolog', 'televis', 'peopl', 'spent', 'decad', 'learn', 'frame', 'rate', 'learn', 'basic', 'percept', 'capabl', 'kind', 'frame', 'rate', 'need']"
52,"['televis', 'look', 'smooth', 'back', 'late', 'eighti', 'earli', 'nineti', 'peopl', 'ask', 'question', 'immers', 'world']"
53,"['kind', 'updat', 'rate', 'need', 'move', 'head', 'nauseou', 'kind', 'accur', 'build', 'model', 'inter', 'rock', 'distanc', 'depth', 'percept']"
54,"['realli', 'basic', 'paramet', 'research', 'topic']"
55,"['back', 'nineti', 'nineti', 'five']"
56,"['virtual', 'realiti', 'realli', 'took', 'public', 'conscious']"
57,"['peopl', 'realli', 'realiz']"
58,"['like', 'peopl', 'today', 'least', 'realiz', 'nineteen', 'nineti', 'five', 'virtual', 'audio', 'cover', 'wire', 'magazin', 'statement', 'say', 'next', 'thing']"
59,"['peopl', 'realli', 'believ', 'back']"
60,"['eighti', 'five', 'peopl', 'believ', 'virtual', 'would', 'everywher', 'within', 'five', 'year']"
61,"['well', 'believ']"
63,"['found', 'first', 'compani', 'nineteen', 'nineti', 'three', 'believ', 'thousand', 'seven', 'year', 'realiti', 'would', 'everywher']"
64,"['ventur', 'capitalist', 'believ', 'well', 'earli', 'nineti', 'realli', 'half', 'topic', 'around', 'nineteen', 'nineti', 'seven', 'fell', 'edg', 'world', 'even', 'mention', 'word', 'virtual', 'realiti', 'ventur', 'capitalist']"
65,"['peopl', 'often', 'happen', 'happen', 'happen', 'internet', 'happen', 'import', 'critic', 'technolog', 'virtual', 'world', 'boom', 'happen', 'everi', 'ounc', 'excit', 'everi', 'dollar', 'ventur', 'capit', 'went', 'build', 'basic', 'flat', 'busi']"
66,"['realiti', 'fell', 'favor', 'decad', 'probabl', 'fifteen', 'year']"
67,"['gonna', 'question', 'sit', 'twenti', 'twelv']"
68,"['hear', 'gonna', 'next', 'biggest', 'thing', 'think', 'said', 'think', 'yeah', 'time']"
69,"['twenti', 'twelv', 'start', 'come', 'back', 'realli', 'around', 'twenti', 'fourteen']"
70,['realli']
71,"['start', 'kinda', 'hype', 'nineteen', 'nineti', 'five']"
72,"['time', 'twenti', 'fourteen', 'work', 'professor', 'california', 'state', 'univers', 'teach', 'cours', 'entrepreneurship', 'actual', 'advis', 'varieti', 'compani', 'end', 'advis', 'student', 'startup', 'world']"
74,"['know', 'distinctli', 'rememb', 'say', 'thing', 'learn', 'space', 'thing', 'take', 'longer', 'expect', 'hype', 'around', 'earli', 'twenti', 'ten', 'felt', 'okay']"
75,"['get', 'closer']"
76,"['probabl', 'littl', 'overli', 'optimist']"
77,"['advic', 'start', 'time', 'prepar']"
78,"['stain', 'long', 'haul', 'gonna', 'busi', 'plan', 'realiz', 'three', 'year']"
79,"['seven', 'year', 'plan']"
80,"['person', 'time', 'keep', 'real']"
81,['time']
82,"['industri', 'realli', 'coalesc', 'around', 'concept', 'startup', 'ventur', 'capitalist', 'major', 'corpor', 'invest', 'meta', 'realli', 'happen', 'level', 'realiz', 'excit', 'peopl', 'know', 'thirti', 'year']"
83,"['last', 'twelv', 'eighteen', 'month', 'realli', 'largest', 'compani', 'world']"
84,"['realiz', 'import', 'consum', 'busi']"
85,"['import', 'mainstream', 'comput']"
86,"['plan', 'futur', 'meta', 'signific', 'part']"
87,"['virtual', 'meta', 'augment', 'matter']"
88,"['virtual', 'meta', 'fulli', 'simul', 'world', 'peopl', 'avatar', 'augment', 'univers', 'virtual', 'layer', 'real', 'world', 'reason', 'split', 'mind', 'realli', 'differ', 'industri', 'evolv', 'parallel', 'come', 'evolv', 'exist', 'industri']"
89,"['virtual', 'meta', 'evolv', 'game', 'industri', 'social', 'media', 'industri', 'wherea']"
90,"['virtual', 'meta', 'fulli', 'virtual', 'world', 'evolv', 'realli', 'focus', 'social', 'entertain', 'shop', 'game', 'fulli', 'simul', 'world', 'wherea', 'augment', 'meta', 'versu', 'realli', 'evolv', 'mobil', 'phone', 'industri', 'evolv', 'handheld', 'phone', 'turn', 'augment', 'realiti', 'eyewear', 'wear', 'realli', 'mobil', 'media']"
91,"['differ', 'player', 'differ', 'focu', 'differ', 'interact']"
92,"['happen', 'parallel']"
93,"['person', 'view', 'actual', 'easier', 'predict', 'augment', 'matter', 'look', 'time', 'frame', 'thing', 'evolv']"
94,"['easier', 'predict', 'rapid', 'adopt', 'augment', 'meta', 'wherea', 'fulli', 'virtual', 'meta', 'littl', 'harder', 'predict']"
95,"['realli', 'depend', 'peopl', 'want', 'spend', 'signific', 'amount', 'time', 'fulli', 'simul', 'world']"
96,"['interest', 'peopl', 'think', 'virtual', 'world', 'obvious', 'first', 'interest', 'aspect', 'matter', 'versu', 'abl', 'bring', 'digit', 'content', 'real', 'world', 'creat', 'kind', 'connect', 'digit', 'real']"
97,"['probabl', 'fascin', 'aspect', 'think', 'right', 'talk', 'augment', 'matter', 'evolut', 'mobil', 'market']"
98,"['think', 'situat', 'right', 'life', 'without', 'mobil', 'phone', 'less', 'meaning', 'mobil', 'phone', 'connect']"
99,['thing']
100,['work']
101,"['connect', 'friend', 'check', 'news']"
102,"['data', 'inform', 'come', 'toward']"
103,"['futur', 'gonna', 'probabl', 'import', 'vital', 'gonna', 'also', 'connect', 'directli', 'mean', 'realiti']"
104,"['realli', 'meta', 'transit', 'inform', 'stuck', 'littl', 'flat', 'window', 'hand', 'inform', 'place', 'world', 'natur', 'intuit', 'locat', 'locat', 'want']"
105,"['realli', 'augment', 'meta', 'human', 'agon', 'technolog', 'inform', 'form', 'percept', 'system', 'design', 'perceiv']"
106,"['spatial', 'content', 'around']"
107,['content']
108,"['potenti', 'augment', 'augment', 'realiti', 'augment', 'extrem', 'make', 'world', 'natur', 'downsid', 'cut', 'real', 'world']"
109,"['like', 'think', 'adopt', 'path', 'thing', 'okay']"
110,"['back', 'think', 'thousand', 'seven', 'everybodi', 'use', 'flip', 'phone', 'nobodi', 'thought', 'need', 'smartphon', 'nobodi', 'thought', 'would', 'ever', 'spend', 'thousand', 'dollar', 'phone', 'appl', 'launch', 'iphon']"
111,"['within', 'five', 'year', 'smartphon', 'went', 'zero', 'complet', 'replac', 'flip', 'phone', 'market', 'despit', 'fact', 'significantli', 'expens', 'major', 'major', 'corpor', 'launch', 'augment', 'realiti', 'could', 'exact', 'kind', 'transit', 'happen', 'first', 'support', 'develop', 'creat', 'interest', 'content', 'appl', 'launch', 'augment', 'realiti', 'eyewear', 'interest', 'creativ', 'content', 'quickli', 'point', 'peopl', 'eyewear', 'feel', 'like', 'miss', 'content']"
112,"['actual', 'feel', 'actual', 'feel', 'even', 'intens', 'differ', 'smartphon', 'flip', 'phone']"
113,"['liter', 'thing', 'world', 'even']"
114,"['earli', 'twenti', 'thirti', 'could', 'realli', 'augment', 'meta', 'realli', 'chang', 'societi', 'chang', 'peopl']"
115,"['pioneer', 'year', 'field', 'virtual', 'realiti']"
116,"['start', 'foundat', 'call', 'augment', 'realiti']"
117,"['oper', 'field', 'artifici', 'intellig']"
118,"['tell', 'littl', 'first', 'step']"
120,"['background', 'interest', 'realli', 'technolog', 'use', 'amplifi', 'human', 'abil']"
121,"['interest', 'realli', 'interfac', 'human', 'comput', 'interest', 'initi', 'virtual', 'realiti', 'augment', 'realiti', 'technolog', 'allow', 'peopl', 'perform', 'task', 'better', 'long', 'time', 'realli', 'focus', 'technolog', 'make', 'enhanc', 'singl', 'individu', 'perform']"
122,"['virtual', 'fixtur', 'platform', 'built', 'forc', 'allow', 'peopl', 'like', 'perform', 'manual', 'task', 'augment', 'realiti', 'could', 'perform', 'task', 'faster', 'better', 'year', 'start', 'realli', 'think', 'individu', 'group', 'peopl']"
123,"['technolog', 'enabl', 'group', 'peopl', 'perform', 'better', 'start', 'look', 'look', 'artifici', 'intellig', 'thing', 'connect', 'group', 'peopl', 'togeth', 'better']"
124,"['group', 'make', 'better', 'decis', 'better', 'predict', 'better', 'forecast']"
125,"['realli', 'path']"
126,"['use', 'realli', 'uniqu', 'connect', 'group', 'peopl', 'togeth', 'make', 'collect', 'smarter']"
127,"['develop', 'technolog', 'call', 'swarm']"
128,"['call', 'thing', 'year', 'realli', 'think']"
129,"['make', 'group', 'intellig']"
130,"['like', 'mani', 'know', 'type', 'technolog']"
131,"['alway', 'use', 'back', 'look', 'natur']"
132,['natur']
133,"['turn', 'natur', 'spent', 'hundr', 'plane', 'year', 'evolv', 'method', 'larg', 'group', 'actual', 'optim', 'combin', 'intellig']"
134,"['biologist', 'call', 'swarm', 'intellig', 'swarm', 'intellig', 'reason', 'bird', 'flock', 'fish', 'school', 'swarm']"
135,"['significantli', 'smarter', 'togeth', 'alon']"
136,"['make', 'much', 'better', 'decis']"
138,"['term', 'swarm', 'intellig', 'think', 'school']"
139,"['school', 'fish', 'could', 'thousand', 'individu']"
140,"['slightli', 'differ', 'view', 'world']"
141,"['slightli', 'differ', 'histor', 'memori', 'experi']"
142,"['slightli', 'differ', 'person', 'charg']"
143,"['fish', 'charg', 'school', 'fish', 'navig', 'ocean', 'make', 'good', 'decis', 'success', 'speci', 'hundr', 'million', 'year', 'work', 'togeth', 'system']"
144,"['take', 'vote']"
145,"['take', 'poll']"
147,"['take', 'survey']"
149,"['work', 'real', 'time', 'system', 'push', 'pull', 'littl', 'signal', 'allow', 'group', 'make', 'make', 'realli', 'good', 'decis']"
150,"['biologist', 'would', 'call', 'super', 'organ']"
151,"['found', 'unanim', 'seven', 'year', 'bird', 'bee', 'fish', 'smarter', 'system', 'allow', 'group', 'peopl', 'come', 'togeth', 'system']"
152,"['built', 'system', 'call', 'swarm']"
153,"['group', 'peopl', 'make', 'forecast', 'make', 'decis', 'thirti', 'forti', 'percent', 'accur', 'work', 'togeth', 'swarm']"
154,"['interact', 'system', 'watch', 'behavior', 'took', 'vote', 'poll', 'survey']"
155,"['exampl', 'studi', 'look', 'group', 'trader', 'financi', 'trader', 'predict', 'price', 'gold', 'price', 'five', 'hundr']"
156,"['would', 'alon', 'would', 'take', 'group', 'vote', 'would', 'would', 'swarm']"
157,"['swarm', 'constraint', 'connect', 'time']"
158,"['real', 'time', 'system', 'would']"
159,"['would', 'question', 'would', 'come', 'price', 'next', 'seven', 'day', 'group', 'everi', 'week', 'twenti', 'consecut', 'week']"
160,"['group', 'work', 'togeth', 'swarm', 'think', 'thirti', 'percent', 'accur', 'forecast', 'gold', 'tradit', 'method']"
161,"['question', 'immedi']"
162,"['system', 'becom', 'accur', 'peopl', 'ad', 'system']"
163,"['exact', 'question', 'first', 'mani', 'peopl', 'need', 'origin', 'assum', 'would', 'need', 'least', 'fifti', 'peopl', 'hundr', 'peopl', 'look', 'swarm', 'bee', 'swarm']"
164,"['interest', 'coloni', 'thousand', 'member']"
165,"['make', 'remark', 'decis']"
166,"['decid', 'home', 'move', 'thing', 'swarm', 'three', 'hundr', 'member', 'thousand']"
167,"['made', 'think', 'like', 'probabl']"
168,"['keep', 'ad', 'member', 'least', 'natur', 'suggest']"
169,"['found', 'depend', 'type', 'question', 'type', 'popul', 'usual', 'thirti', 'sixti', 'peopl', 'realli', 'good', 'accur', 'forecast', 'member', 'gener', 'public', 'done', 'everi', 'year', 'ask', 'journalist', 'predict', 'oscar']"
170,"['use', 'member', 'gener', 'public', 'exampl', 'take', 'fifti', 'movi', 'fan', 'predict', 'oscar']"
171,"['everi', 'year', 'outperform', 'movi', 'critic', 'york', 'time', 'post', 'varieti', 'vaniti', 'fair', 'peopl', 'smart', 'combin', 'insight', 'smarter']"
172,"['thing', 'surpris']"
173,"['real', 'expert', 'peopl', 'member', 'public', 'train', 'profession', 'pretti', 'small', 'group', 'studi', 'stanford', 'medic', 'school', 'fund', 'brought', 'group', 'doctor', 'diagnos', 'chest', 'ray', 'swarm']"
175,"['doctor', 'would', 'either', 'work', 'make', 'diagnosi', 'would', 'take', 'vote', 'survey', 'would', 'togeth', 'swarm', 'converg', 'diagnosi']"
176,"['actual', 'would', 'screen', 'would', 'swarm', 'converg']"
177,"['studi', 'publish', 'stanford', 'journal', 'natur', 'digit', 'medicin', 'show', 'work', 'togeth', 'swarm', 'doctor', 'could', 'reduc', 'diagnost', 'error', 'thirti', 'percent']"
178,"['four', 'five', 'doctor']"
179,"['thirti', 'fifti']"
180,"['expert', 'four', 'five', 'peopl', 'work', 'togeth', 'system']"
181,"['could', 'make', 'signific', 'improv']"
182,"['given', 'background', 'obvious', 'immers', 'technolog', 'data', 'virtual', 'augment', 'individu', 'obvious', 'discuss', 'brave', 'world', 'meta']"
183,"['potenti', 'forese', 'technolog', 'converg', 'artifici', 'intellig', 'like', 'creat', 'work', 'world', 'mess']"
184,"['artifici', 'intellig', 'signific', 'technolog', 'meta', 'good', 'technolog', 'focu', 'realli', 'connect', 'group', 'peopl', 'real', 'time', 'constraint', 'group', 'peopl', 'swarm', 'connect', 'togeth', 'immers', 'world', 'great']"
185,"['immers', 'world', 'realli', 'real', 'time', 'interact']"
186,"['meta', 'world', 'abil', 'collect', 'massiv', 'amount', 'inform', 'peopl', 'talk', 'detail', 'artifici', 'intellig', 'often', 'use', 'character', 'peopl', 'profil', 'peopl', 'use', 'tradit', 'world', 'crunch', 'lot', 'data', 'understand', 'thing', 'peopl']"
187,"['think', 'abl', 'understand', 'thing', 'peopl', 'even', 'form', 'meta', 'world', 'peopl', 'track', 'lot', 'differ', 'way']"
188,"['think', 'interest']"
189,"['think', 'think', 'learn', 'peopl']"
190,"['also', 'think', 'get', 'danger', 'could', 'start', 'profil', 'peopl', 'level', 'becom', 'mayb', 'predatori']"
191,['area']
192,"['area', 'becom', 'realli', 'signific', 'control', 'avatar']"
193,"['control', 'agent', 'avatar', 'convers', 'good', 'especi', 'recent', 'surg', 'progress', 'larg', 'languag', 'model', 'prospect', 'could', 'interact', 'virtual', 'control', 'spokesperson', 'even', 'realiz', 'person', 'real']"
194,"['definit', 'within', 'reach', 'especi', 'virtual', 'world', 'everybodi', 'look', 'like', 'avatar', 'approach', 'avatar', 'look', 'real', 'everybodi', 'els', 'power', 'larg', 'languag', 'model', 'abl', 'interact', 'way', 'make', 'think', 'real']"
195,"['realli', 'interest', 'time', 'also', 'danger', 'danger', 'like', 'usag', 'type', 'power', 'avatar', 'promot', 'purpos']"
196,"['power', 'spoke', 'peopl', 'gonna', 'engag', 'promot', 'convers', 'goal', 'persuad', 'product', 'servic', 'even', 'wors', 'persuad', 'believ', 'idea', 'third', 'parti', 'paid', 'influenc']"
197,"['like', 'advertis', 'today', 'world', 'flat', 'media', 'type', 'advertis', 'target']"
198,"['approach', 'power', 'avatar', 'custom', 'design', 'persuas', 'look']"
199,"['voic', 'manner', 'cloth', 'chosen', 'base', 'profil']"
200,"['gaug', 'convers', 'product', 'servic', 'polit', 'propaganda', 'persuas']"
201,"['think', 'danger', 'especi', 'meta', 'also', 'access', 'facial', 'featur', 'vocal', 'inflect', 'mayb', 'even', 'vital', 'sign', 'blood', 'pressur', 'heart', 'rate']"
202,"['could', 'find', 'virtual', 'futur', 'engag', 'virtual', 'spoke', 'driven', 'access', 'person', 'histori', 'know', 'like', 'tendenc']"
203,"['know', 'like', 'persuad']"
204,"['read', 'facial', 'express', 'mayb', 'even', 'heart', 'rate', 'blood', 'pressur', 'whole', 'point', 'virtual', 'realiti', 'augment', 'realiti', 'blur', 'boundari', 'authent']"
205,"['guess', 'feel', 'sens', 'respons', 'area', 'growth', 'matter', 'given', 'fact', 'larg', 'respons', 'earli', 'pioneer', 'earli', 'growth', 'concern', 'probabl', 'major', 'thing']"
206,"['peopl', 'promot', 'technolog', 'long', 'time', 'respons', 'potenti', 'make', 'magic', 'world', 'need', 'guard', 'rail', 'place', 'utopian', 'vision', 'could', 'distort']"
207,"['think', 'peopl', 'look', 'happen', 'social', 'media', 'thing', 'alway', 'turn', 'expect']"
208,"['social', 'media', 'great', 'concept', 'utopian', 'vision', 'realli', 'utopian', 'benefit', 'bring', 'world', 'togeth', 'gave', 'voic', 'billion', 'peopl']"
209,"['potenti', 'democrat', 'societi', 'time', 'guard', 'rail', 'place', 'social', 'media', 'creat', 'creat', 'inadvert', 'system', 'also', 'polar', 'societi', 'spread', 'misinform', 'disinform']"
210,"['think', 'learn', 'think', 'good', 'anoth', 'utopian', 'technolog']"
211,"['gonna', 'like', 'robert', 'famous', 'peopl', 'like', 'guess', 'bill', 'gate', 'like', 'mark', 'cuban', 'past', 'like', 'vocal', 'limit', 'guess', 'like', 'screen', 'time', 'children', 'like', 'mobil', 'phone', 'think', 'okay', 'children', 'phone', 'fourteen', 'twenti', 'thousand', 'seven', 'guess', 'sign']"
212,"['would', 'guess', 'children', 'virtual', 'realiti']"
213,"['would', 'enter', 'matter', 'opinion']"
214,['today']
215,"['think', 'children', 'young', 'peopl', 'go', 'technolog', 'young', 'peopl', 'restrict', 'actual', 'creat', 'social', 'problem']"
216,"['necessarili', 'choic']"
217,"['head', 'curv']"
218,"['right', 'peopl', 'right', 'pretti', 'young', 'peopl', 'minecraft', 'roadblock', 'like', 'real', 'world', 'whole', 'gener', 'grow', 'minecraft', 'roadblock']"
219,"['side', 'ultim', 'whether', 'could', 'steer', 'peopl', 'away', 'use', 'right', 'transit', 'point', 'peopl', 'choic']"
220,"['peopl', 'choic', 'right', 'realli', 'smartphon']"
221,"['choic', 'internet', 'disadvantag']"
222,"['augment', 'realiti']"
223,"['disadvantag', 'shop', 'realiti']"
224,['question']
225,"['point', 'view', 'like', 'three', 'five', 'thing', 'happen', 'order', 'protect', 'consum', 'meta', 'user', 'futur']"
226,"['also', 'implement', 'implement', 'platform', 'level']"
227,"['implement', 'countri', 'govern', 'level', 'citi', 'implement', 'like', 'sort', 'unit', 'nation', 'digit', 'human', 'right', 'kind', 'declar']"
228,"['think', 'implement', 'could', 'could', 'platform', 'could', 'govern', 'could', 'digit', 'human', 'right']"
229,"['think', 'concern', 'term', 'regul', 'would', 'happen', 'realli', 'put', 'guard', 'rail', 'platform']"
230,"['charact', 'rail', 'like', 'tree', 'five']"
231,"['yeah', 'protect']"
232,"['broad', 'categori', 'track']"
233,"['right', 'fight', 'natur', 'meta', 'know']"
234,"['right', 'know', 'orient', 'could', 'track', 'gate', 'postur', 'know', 'stuff', 'order', 'simul', 'world', 'around']"
235,"['store', 'inform']"
236,['limit']
237,"['storag', 'mean', 'store', 'inform', 'time']"
238,"['need', 'inform', 'order', 'simul', 'experi', 'real', 'time']"
239,"['think', 'limit', 'track', 'realli', 'store', 'inform', 'time', 'give', 'abil', 'profil', 'peopl']"
240,"['come', 'abil', 'track', 'motion', 'throughout', 'could', 'predict', 'behavior']"
241,"['could', 'motion', 'data', 'prop', 'actual', 'predict', 'health', 'problem', 'put', 'limit', 'make', 'clear', 'distinct', 'data', 'need', 'real', 'time', 'provid', 'real', 'time', 'simul', 'immers', 'experi', 'magic', 'educ', 'inform']"
242,"['think', 'fulli', 'possibl']"
243,"['think', 'store', 'inform', 'time']"
244,"['input', 'side']"
245,"['output', 'side', 'meta', 'platform', 'abil', 'take', 'whatev', 'inform', 'profil', 'target', 'content', 'advertis', 'like', 'social', 'media', 'think', 'realli', 'differ', 'target', 'content', 'meta', 'versu', 'target', 'content', 'social', 'media', 'today', 'world', 'advertis', 'pop', 'clear', 'advertis']"
247,"['video', 'meta', 'advertis', 'becom', 'immers']"
248,"['flat', 'content', 'immers', 'experi']"
249,"['advertis', 'promot', 'propaganda', 'becom', 'experi', 'could', 'becom', 'indistinguish', 'real', 'real', 'event', 'real', 'activ', 'world']"
250,"['exampl', 'could', 'give', 'would', 'call', 'promot', 'alter', 'experi']"
251,"['imagin', 'walk', 'street', 'virtual', 'world', 'mayb', 'augment', 'world', 'park', 'never', 'seen', 'notic', 'peopl', 'stand', 'outsid', 'convers', 'talk', 'driver', 'tell', 'friend', 'amaz']"
252,"['walk', 'past', 'might', 'think', 'authent', 'experi', 'could', 'subconsci', 'influenc', 'like', 'peopl', 'live', 'around', 'realli', 'think', 'great', 'featur']"
253,"['might', 'realiz']"
255,"['inject', 'world', 'target', 'advertis', 'experi', 'chose', 'color', 'chose', 'virtual', 'spoke', 'peopl', 'gender', 'cloth', 'bake', 'maxim', 'persuas', 'might', 'idea']"
256,"['idea', 'promot', 'alter', 'experi', 'happen', 'meta', 'could', 'indistinguish', 'authent', 'experi', 'realli', 'danger', 'chang', 'view', 'realiti']"
257,"['someth', 'target', 'promot', 'experi', 'look', 'differ']"
258,"['look', 'differ']"
259,"['sound', 'differ', 'consum', 'user', 'abl', 'virtual', 'peopl', 'talk']"
260,['fine']
261,"['look', 'differ']"
262,['yeah']
263,"['look', 'differ', 'stan', 'look', 'differ', 'promot', 'proper', 'context', 'natur', 'skeptic', 'yeah', 'place']"
264,"['think', 'could', 'four', 'hour', 'topic']"
265,"['said', 'fascin', 'like', 'take', 'know']"
266,"['second', 'northern', 'knowledg']"
267,['want']
268,"['someth', 'talk', 'autom', 'profil', 'system', 'potenti', 'know', 'purchas', 'product', 'persuad', 'peopl', 'invest', 'money', 'product']"
269,"['take', 'happen', 'autom', 'system', 'could', 'potenti', 'happen', 'also', 'actor', 'real', 'peopl', 'go', 'matter', 'know', 'someth', 'real', 'life']"
270,"['matter', 'fact', 'gonna', 'autom', 'matter', 'need', 'appear', 'paid', 'advertis']"
271,['also']
272,"['regul', 'need', 'happen', 'also', 'term', 'behavior', 'real', 'peopl', 'track', 'someon', 'measur', 'chaperon', 'place', 'order', 'protect', 'inhabit', 'kind', 'behavior']"
273,"['realli', 'import', 'reason', 'strict', 'control', 'around', 'ident']"
274,"['said', 'wanna', 'point', 'even', 'though', 'could', 'human', 'actor', 'control', 'avatar', 'ultim', 'power', 'also', 'cheaper', 'implement']"
275,['scale']
276,"['scale', 'even', 'even', 'power']"
277,"['meta', 'announc', 'put', 'facial', 'record', 'facial', 'track', 'express', 'track']"
278,['headset']
279,"['realli', 'good', 'reason', 'facial', 'track', 'headset', 'avatar', 'could', 'express', 'human', 'emot']"
280,"['human', 'ice', 'thing', 'posit']"
281,"['hand', 'emot', 'analysi', 'real', 'time', 'advertis', 'control', 'avatar', 'engag', 'emot', 'convers', 'adjust', 'tactic', 'real', 'time', 'base', 'emot', 'express', 'turn', 'actual', 'better', 'detect', 'emot', 'potenti', 'human', 'actual', 'detect', 'call', 'micro', 'express', 'happen', 'quickli', 'subtli', 'human', 'salesperson', 'recogn']"
282,"['think', 'consum', 'would', 'would', 'appreci', 'guard', 'rail', 'place', 'said', 'motion', 'detect', 'real', 'time', 'adapt', 'advertis']"
283,"['think', 'platform', 'would', 'benefit', 'consum', 'lose', 'trust', 'hurt', 'hurt', 'whole', 'industri', 'guard', 'rail', 'place', 'peopl', 'feel', 'safe', 'meta', 'good', 'whole', 'industri']"
284,"['time', 'gonna', 'nick', 'part']"
285,"['could', 'whole', 'convers', 'final', 'topic', 'care']"
286,"['absolut', 'fascin', 'sure', 'listen', 'viewer', 'sourc', 'interest', 'well']"
287,"['thank', 'much', 'time']"
288,['yeah']
290,['thank']
291,['great']
292,"['know', 'catch', 'full', 'episod', 'field', 'subscrib', 'youtub']"
293,"['spotifi', 'appl', 'music', 'wherev', 'podcast', 'miss', 'anoth', 'immers', 'technolog', 'moment']"
294,"['subscrib', 'today']"
295,"['develop', 'invest', 'experi', 'metavers']"
296,"['meta', 'emerg', 'next', 'technolog', 'platform', 'attract', 'onlin', 'game', 'maker', 'social', 'network', 'plenti', 'invest']"
297,"['share', 'lot', 'hype', 'surround', 'meta']"
298,"['also', 'lot', 'substanc', 'develop', 'excit', 'podcast', 'seri', 'meta', 'brought', 'bloomberg', 'intellig']"
